proteina,ligando,afinidad_kcal_mol,estado,log
1hzh,2-Mercaptosuccinic_acid,-3.997,ok,logs_final\1hzh_2-Mercaptosuccinic_acid_log.txt
1hzh,mPEG-thiol_n_6_methyl-capped,-3.962,ok,logs_final\1hzh_mPEG-thiol_n_6_methyl-capped_log.txt
1hzh,Tris_buffer_Tris_base,-3.93,ok,logs_final\1hzh_Tris_buffer_Tris_base_log.txt
1hzh,PEG-thiol_n_6,-3.894,ok,logs_final\1hzh_PEG-thiol_n_6_log.txt
1hzh,3-Mercapto-1-propanesulfonic_acid_MPS,-3.627,ok,logs_final\1hzh_3-Mercapto-1-propanesulfonic_acid_MPS_log.txt
1hzh,PEG-thiol_n_4,-3.586,ok,logs_final\1hzh_PEG-thiol_n_4_log.txt
1hzh,PEG-thiol_n_3,-3.581,ok,logs_final\1hzh_PEG-thiol_n_3_log.txt
1hzh,L-Cysteine,-3.566,ok,logs_final\1hzh_L-Cysteine_log.txt
1hzh,mPEG-thiol_n_3_methyl-capped,-3.471,ok,logs_final\1hzh_mPEG-thiol_n_3_methyl-capped_log.txt
1hzh,PEG-dithiol_n_3,-3.431,ok,logs_final\1hzh_PEG-dithiol_n_3_log.txt
1hzh,1-Hexanethiol,-3.382,ok,logs_final\1hzh_1-Hexanethiol_log.txt
1hzh,3-Mercaptopropionic_acid,-3.189,ok,logs_final\1hzh_3-Mercaptopropionic_acid_log.txt
1hzh,Polyethyleneimine_fragment_ethylenediamine,-2.94,ok,logs_final\1hzh_Polyethyleneimine_fragment_ethylenediamine_log.txt
1hzh,Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,-2.87,ok,logs_final\1hzh_Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol_log.txt
1hzh,Thioglycolic_acid_mercaptoacetic_acid,-2.822,ok,logs_final\1hzh_Thioglycolic_acid_mercaptoacetic_acid_log.txt
1hzh,1-Butanethiol,-2.759,ok,logs_final\1hzh_1-Butanethiol_log.txt
1hzh,Mercaptoethanol_2-mercaptoethanol,-2.626,ok,logs_final\1hzh_Mercaptoethanol_2-mercaptoethanol_log.txt
1hzh,Cysteamine_2-aminoethanethiol,-2.616,ok,logs_final\1hzh_Cysteamine_2-aminoethanethiol_log.txt
1hzh,Thioacetic_acid,-2.524,ok,logs_final\1hzh_Thioacetic_acid_log.txt
2hav,Folic_acid,-10.09,ok,logs_final\2hav_Folic_acid_log.txt
2hav,Curcumin,-8.929,ok,logs_final\2hav_Curcumin_log.txt
2hav,Doxorubicin_proxy_daunorubicin_aglycone,-8.502,ok,logs_final\2hav_Doxorubicin_proxy_daunorubicin_aglycone_log.txt
2hav,Tannic_acid_approx,-8.327,ok,logs_final\2hav_Tannic_acid_approx_log.txt
2hav,Methotrexate,-8.247,ok,logs_final\2hav_Methotrexate_log.txt
2hav,TAT_peptide_fragment_YGRKKK_6_aa,-8.079,ok,logs_final\2hav_TAT_peptide_fragment_YGRKKK_6_aa_log.txt
2hav,Gemcitabine,-7.323,ok,logs_final\2hav_Gemcitabine_log.txt
2hav,RGD_peptide_Arg-Gly-Asp,-7.214,ok,logs_final\2hav_RGD_peptide_Arg-Gly-Asp_log.txt
2hav,Glutathione_GSH,-6.666,ok,logs_final\2hav_Glutathione_GSH_log.txt
2hav,Biotin,-6.587,ok,logs_final\2hav_Biotin_log.txt
2hav,SDS_dodecyl_sulfate_anion,-5.888,ok,logs_final\2hav_SDS_dodecyl_sulfate_anion_log.txt
2hav,HEPES,-5.867,ok,logs_final\2hav_HEPES_log.txt
2hav,D-Galactose,-5.792,ok,logs_final\2hav_D-Galactose_log.txt
2hav,Sodium_citrate_citrate3-,-5.775,ok,logs_final\2hav_Sodium_citrate_citrate3-_log.txt
2hav,D-Glucose,-5.661,ok,logs_final\2hav_D-Glucose_log.txt
2hav,Mannose,-5.609,ok,logs_final\2hav_Mannose_log.txt
2hav,Citric_acid,-5.555,ok,logs_final\2hav_Citric_acid_log.txt
2hav,Histidine,-5.484,ok,logs_final\2hav_Histidine_log.txt
2hav,11-Mercaptoundecanesulfonic_acid_MUS,-5.483,ok,logs_final\2hav_11-Mercaptoundecanesulfonic_acid_MUS_log.txt
2hav,Arginine,-5.406,ok,logs_final\2hav_Arginine_log.txt
2hav,5-Fluorouracil,-5.327,ok,logs_final\2hav_5-Fluorouracil_log.txt
2hav,Lipoic_acid_thioctic_acid,-5.252,ok,logs_final\2hav_Lipoic_acid_thioctic_acid_log.txt
2hav,CTAB_cetyltrimethylammonium_cation,-5.244,ok,logs_final\2hav_CTAB_cetyltrimethylammonium_cation_log.txt
2hav,11-Mercaptoundecanoic_acid_MUA,-5.229,ok,logs_final\2hav_11-Mercaptoundecanoic_acid_MUA_log.txt
2hav,Dihydrolipoic_acid_DHLA,-5.181,ok,logs_final\2hav_Dihydrolipoic_acid_DHLA_log.txt
2hav,4-Mercaptobenzoic_acid,-5.001,ok,logs_final\2hav_4-Mercaptobenzoic_acid_log.txt
2hav,1-Dodecanethiol,-4.842,ok,logs_final\2hav_1-Dodecanethiol_log.txt
2hav,Lysine,-4.766,ok,logs_final\2hav_Lysine_log.txt
2hav,PVP_monomer_N-vinyl-2-pyrrolidone,-4.752,ok,logs_final\2hav_PVP_monomer_N-vinyl-2-pyrrolidone_log.txt
2hav,PEG-thiol_n_6,-4.643,ok,logs_final\2hav_PEG-thiol_n_6_log.txt
