ligando,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeavyAtoms,NumAtoms,FractionCSP3,NumRings,FormalCharge,Chi0n,Chi1n,Kappa1,Kappa2,LabuteASA,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,y_1ao6,y_1hzh,y_2hav,y_3ghg,n_layerposition,mem_distribution_mean,mem_distribution_min,mem_distribution_max,mem_distribution_center,mem_distribution_argmax_depth,mem_distribution_argmin_depth,mem_free_energy_mean,mem_free_energy_min,mem_free_energy_max,mem_free_energy_center,mem_free_energy_argmax_depth,mem_free_energy_argmin_depth,mem_meanentropy_mean,mem_meanentropy_min,mem_meanentropy_max,mem_meanentropy_center,mem_meanentropy_argmax_depth,mem_meanentropy_argmin_depth,mem_distribution_sum,mem_distribution_nonzero_center,mem_free_energy_barrier,mem_logP,mem_logP_kg_l,mem_logPerm,mem_diffusion_E9_mean,mem_diffusion_E9_min,mem_diffusion_E9_max,mem_diffusion_E9_center,mem_diffusion_E9_argmax_depth,mem_diffusion_E9_argmin_depth
Biotin,244.3160000000001,244.088163372,0.7968000000000001,78.43,3,4,5,16,32,0.8,2,0,23.52742035285537,11.717723398623354,2.909188028838725,4.9476486864612665,121.03449162049432,0.5491280087507184,0.9830376785308996,0.001754102803545,0.1834037147622137,0.9128088844432012,520.3850553105727,2589.980810556751,2837.374673600594,3.4888721493670984,0.2281565127799922,-6.604,-6.402,-6.587,-5.403,30.0,0.0333333333333328,9.4786956211439e-08,0.11264003541338,9.4786956211439e-08,24.47,0.57,1.5604148235519093,-0.94585387872719,7.6754337125759,7.6754337125759,0.57,24.47,8.159489899175,0.0071497962,30.0,1.0,,,0.999999999999986,1.0,8.621287591303089,0.31587399,0.21126851,-4.09064739,0.181031506632165,6.3804411227891e-05,0.68687469064692,0.12192206051218,33.58,16.51
Citric_acid,192.12300000000005,192.027002596,-1.2484999999999995,132.13,4,7,6,13,21,0.5,0,0,13.857738033247042,6.3118621784789735,3.623261379453199,3.853986625290123,83.81190794257938,0.210494654190264,0.9070795425908852,0.0017704177418538,0.4209592657408918,0.7983194329010593,450.9215051500268,855.1406978551587,1071.176101460556,2.487320115549745,0.3939410168482887,-4.765,-5.439,-5.555,-4.77,30.0,0.0333333333333332,7.3380293419901e-13,0.19079707661399,7.3380293419901e-13,18.78,0.57,1.0394382502732418,-3.9893516498834,12.210291997362,12.210291997362,0.57,18.78,8.088149781606335,0.00113414981,30.0,1.0,,,0.9999999999999974,1.0,16.199643647245402,2.39998681,2.29538133,-6.9741622,0.2438379957006966,7.8484246245838e-05,0.93379162666556,0.16794525516701,33.58,16.51
Curcumin,368.38499999999976,368.1259883600005,3.3699000000000026,93.06000000000002,2,6,10,27,47,0.1428571428571428,2,0,32.94948974278318,16.44948974278318,5.986990856843829,9.238837190939822,184.805122973866,0.7615809687863934,0.9961565907027272,0.0009057678071703,0.0875902209126081,0.9707587707958149,1071.7523443767743,11878.186601022362,12235.981747849455,5.846728789778548,0.1211230114511974,-7.742,-7.302,-8.929,-7.493,30.0,0.0333333333333334,3.8284384430632e-07,0.23559919956057,3.8284384430632e-07,21.06,0.57,-0.5586561081193829,-3.930223035931,4.2854813189663,4.2854813189663,0.57,21.06,8.715715638638333,0.0747026723,30.0,1.0,,,1.0000000000000049,1.0,8.215704354897301,2.26609154,2.16148606,-2.2559156,0.0894761943823433,3.1448942446252e-05,0.33745359107205,0.063411614322045,33.58,16.51
Cysteamine_2-aminoethanethiol,77.15199999999997,77.029920224,-0.1250999999999998,26.02,2,2,3,4,11,1.0,0,0,8.855461885963821,3.9804064244456896,0.4442382269904538,3.3099999999999983,41.23095313609625,0.4567144996692571,0.9724364126434936,0.0202324819146774,0.233168229750653,0.8527718914701212,42.14865457764159,154.15130923082168,180.76499797041296,1.563217818895863,0.3383801244894331,-2.571,-2.616,-2.68,-2.44,30.0,0.0333333333333332,0.0012271341010633,0.063222788001733,0.0012271341010633,25.61,0.57,0.2517431649523298,-0.3697578858657,2.059809431312,2.059809431312,0.57,25.61,7.8039042984534,0.000234528404,30.0,1.0,,,0.999999999999998,1.0,2.4295673171777,0.05776919,-0.04683629,-1.8788397,0.3756393682900649,0.0001308402073405,1.4378244150773,0.23536008577618,33.58,16.51
D-Galactose,180.1560000000001,180.063388104,-3.2214000000000005,110.38,5,6,6,12,24,1.0,1,0,17.44948974278318,8.220110468942837,2.411787232595313,3.648916103234773,85.93584172942023,0.1244836842322806,0.8462742285694842,0.0023579878418863,0.5327475293787145,0.919206002583091,389.8264385654024,672.609036240466,731.728289796134,2.2314732111333577,0.5087152045722942,-4.806,-5.085,-5.792,-4.424,30.0,0.0333333333333335,1.8834918340607e-12,0.13021368936883,1.8834918340607e-12,23.34,0.57,3.094113528986954,-1.1378346552349,14.245370000293,14.245370000293,0.57,23.34,7.900495317669618,0.000598179167,30.0,1.0,,,1.0000000000000058,1.0,15.3832046555279,0.42167428,0.3170688,-8.42678642,0.2509919134302473,8.4474472860964e-05,0.95430063979391,0.17260461745887,33.58,16.51
D-Glucose,180.1560000000001,180.063388104,-3.2214000000000005,110.38,5,6,6,12,24,1.0,1,0,17.44948974278318,8.220110468942837,2.411787232595313,3.648916103234773,85.93584172942023,0.2234877476857359,0.9133710804614948,0.0022900042041652,0.4071280749059213,0.824111646065255,359.87342056678347,728.4584269138358,883.9317225910854,2.339608083920114,0.3870450329174273,-4.905,-5.079,-5.661,-4.901,30.0,0.0333333333333332,2.6644023902747e-13,0.11677002630876,2.6644023902747e-13,22.2,0.57,3.311877783641869,-1.2086645288164,15.312757323101,15.312757323101,0.57,22.2,7.877172815511567,0.000705506594,30.0,1.0,,,0.999999999999998,1.0,16.5214218519174,0.54999656,0.44539108,-9.18439111,0.2464444000337891,8.2045797136538e-05,0.93679174558087,0.17042024430143,33.58,16.51
Dihydrolipoic_acid_DHLA,220.3590000000001,220.059171752,2.827600000000001,37.3,1,4,6,13,29,0.8888888888888888,1,0,22.132993161855453,10.882993161855453,2.292419389887445,6.59820436720464,110.4211309532556,0.5802065864738182,0.9856385796344476,0.0024859091258141,0.1688685593477618,0.9455755401751356,380.3741377173006,2129.89606904854,2252.4864260491013,3.2873716157780684,0.2726576528478218,-5.228,-5.111,-5.181,-4.616,30.0,0.0333333333333332,3.2894438310071e-06,0.15384408452418,3.2894438310071e-06,15.37,0.57,-0.7499896490497449,-3.076232378788,3.5511624488239,3.5511624488239,0.57,15.37,8.1322191248,0.0109485442,30.0,1.0,,,0.9999999999999964,1.0,6.6273948276119,1.84561708,1.7410116,-1.10276027,0.2088272056001053,7.2030727888553e-05,0.79624429135064,0.1357207106206,33.58,16.51
Dithiothreitol_DTT,182.26600000000008,182.00713618,-0.5358999999999999,60.69,3,5,5,10,20,1.0,1,0,14.541241452319316,6.90361388801511,2.2925876311929745,3.824199539737246,82.1318254152651,0.2223068413673601,0.911166700483724,0.002052355229819,0.4120379156456401,0.7599367846393188,370.27546381739495,682.9127483651781,898.6441532624351,2.3139471121602764,0.3486784147389652,-4.1,-4.448,-4.512,-4.046,30.0,0.0333333333333332,6.6908604117229e-09,0.14065794353507,6.6908604117229e-09,19.92,0.57,0.941058377430718,-2.2177719220831,8.1742494545479,8.1742494545479,0.57,19.92,7.973646791629,0.00106771561,30.0,1.0,,,0.9999999999999968,1.0,10.392021376631,1.26277466,1.15816918,-4.24062012,0.2577708719985906,8.6156076431106e-05,0.9834311243955,0.16961616099663,33.58,16.51
Doxorubicin_proxy_daunorubicin_aglycone,356.3299999999998,356.0896028520004,0.7021999999999995,124.29000000000002,4,7,5,26,42,0.2631578947368421,4,0,28.35773803324704,14.515986323710903,6.365497260791805,5.55127820312456,170.47116329285117,0.5195424984157235,0.9799171676916112,0.0007452879976415,0.199404976024297,0.8151498029461165,1093.7379986335443,4471.103639621206,5485.008551142049,3.93764902281062,0.0476105677242346,-8.36,-7.94,-8.502,-7.965,30.0,0.0333333333333332,1.019050125541e-09,0.091471765639021,1.019050125541e-09,15.37,0.57,0.9236643967739232,-1.7708089028628,9.5158608880988,9.5158608880988,0.57,15.37,8.399706606853334,0.0538962493,30.0,1.0,,,0.9999999999999984,1.0,11.2866697909616,1.12647381,1.02186833,-5.3327857,0.1272144423939944,4.4725272650702e-05,0.48033704197193,0.089047350307909,33.58,16.51
Folic_acid,586.5180000000014,586.1771890320008,-1.4904999999999935,288.79,8,13,14,42,68,0.2916666666666667,3,0,45.6601916686383,22.52697666071031,10.876580172039011,13.505065046834044,271.6329019718076,0.5169365746834932,0.9797422752520067,0.0002768195781659,0.2002625129274591,0.9072582828167504,3277.435392495883,14847.913185408486,16365.695928738622,5.422474307301128,0.1813124595418209,-9.21,-8.75,-10.09,-7.912,30.0,0.0333333333333333,3.5133804493948003e-16,0.27627871470198,3.5133804493948003e-16,19.92,0.57,3.866177089382536,-3.3959303170152,17.743266849833,17.743266849833,0.57,19.92,9.15343843195,0.417980258,30.0,1.0,,,0.9999999999999992,1.0,21.1391971668482,1.81641041,1.71180493,-11.56174243,0.0558728783735392,1.9735467696476e-05,0.20990124986338,0.04142632533729,33.58,16.51
