"ligando","nanoparticula","proteina","y_ligando_proteina","E_nano_proteina","score_ligando_proteina","score_nano_proteina","score_contextual","score_contextual_medio"
"11-Mercaptoundecanesulfonic_acid_MUS","Au_13","1ao6",-5.275,-2.34,0.3168,-0.6876,-0.3708,-0.1854
"D-Glucose","Au_13","2hav",-5.661,-2.34,0.306,-0.6778,-0.3718,-0.1859
"SDS_dodecyl_sulfate_anion","Au_13","1ao6",-5.268,-2.34,0.3121,-0.6876,-0.3755,-0.1878
"Sodium_citrate_citrate3-","Ag_13","1hzh",-5.172,-2.13,0.3239,-0.7051,-0.3812,-0.1906
"Sodium_citrate_citrate3-","Au_13","1hzh",-5.172,-2.12,0.3239,-0.7091,-0.3852,-0.1926
"5-Fluorouracil","Ag_13","1ao6",-5.307,-2.24,0.3382,-0.7264,-0.3882,-0.1941
"Dihydrolipoic_acid_DHLA","Au_13","1ao6",-5.228,-2.34,0.2854,-0.6876,-0.4022,-0.2011
"Mannose","Au_13","2hav",-5.609,-2.34,0.2748,-0.6778,-0.403,-0.2015
"11-Mercaptoundecanesulfonic_acid_MUS","Ag_13","1ao6",-5.275,-2.24,0.3168,-0.7264,-0.4096,-0.2048
"SDS_dodecyl_sulfate_anion","Ag_13","1ao6",-5.268,-2.24,0.3121,-0.7264,-0.4143,-0.2071
"Dihydrolipoic_acid_DHLA","Ag_13","1hzh",-5.111,-2.13,0.2815,-0.7051,-0.4236,-0.2118
"Dihydrolipoic_acid_DHLA","Au_13","1hzh",-5.111,-2.12,0.2815,-0.7091,-0.4277,-0.2138
"D-Glucose","Ag_13","2hav",-5.661,-2.17,0.306,-0.7361,-0.4301,-0.215
"Citric_acid","Au_13","2hav",-5.555,-2.34,0.2425,-0.6778,-0.4353,-0.2177
"4-Mercaptobenzoic_acid","Au_13","1ao6",-5.176,-2.34,0.2506,-0.6876,-0.437,-0.2185
"Dihydrolipoic_acid_DHLA","Ag_13","1ao6",-5.228,-2.24,0.2854,-0.7264,-0.441,-0.2205
"D-Galactose","Ag_13","1hzh",-5.085,-2.13,0.2634,-0.7051,-0.4417,-0.2209
"11-Mercaptoundecanoic_acid_MUA","Au_13","1ao6",-5.165,-2.34,0.2433,-0.6876,-0.4444,-0.2222
"D-Galactose","Au_13","1hzh",-5.085,-2.12,0.2634,-0.7091,-0.4457,-0.2229
"D-Glucose","Ag_13","1hzh",-5.079,-2.13,0.2592,-0.7051,-0.4459,-0.2229
"D-Glucose","Au_13","1hzh",-5.079,-2.12,0.2592,-0.7091,-0.4499,-0.225
"Mannose","Ag_13","2hav",-5.609,-2.17,0.2748,-0.7361,-0.4612,-0.2306
"4-Mercaptobenzoic_acid","Ag_13","1ao6",-5.176,-2.24,0.2506,-0.7264,-0.4758,-0.2379
"Histidine","Au_13","2hav",-5.484,-2.34,0.1999,-0.6778,-0.4778,-0.2389
"11-Mercaptoundecanesulfonic_acid_MUS","Au_13","2hav",-5.483,-2.34,0.1993,-0.6778,-0.4784,-0.2392
"11-Mercaptoundecanoic_acid_MUA","Ag_13","1ao6",-5.165,-2.24,0.2433,-0.7264,-0.4831,-0.2416
"Citric_acid","Ag_13","2hav",-5.555,-2.17,0.2425,-0.7361,-0.4936,-0.2468
"11-Mercaptoundecanesulfonic_acid_MUS","Ag_13","1hzh",-5.009,-2.13,0.2105,-0.7051,-0.4946,-0.2473
"11-Mercaptoundecanesulfonic_acid_MUS","Au_13","1hzh",-5.009,-2.12,0.2105,-0.7091,-0.4986,-0.2493
"Arginine","Au_13","2hav",-5.406,-2.34,0.1532,-0.6778,-0.5246,-0.2623
"Histidine","Ag_13","2hav",-5.484,-2.17,0.1999,-0.7361,-0.5361,-0.2681
"11-Mercaptoundecanesulfonic_acid_MUS","Ag_13","2hav",-5.483,-2.17,0.1993,-0.7361,-0.5367,-0.2684
"Arginine","Au_13","1ao6",-5.009,-2.34,0.139,-0.6876,-0.5487,-0.2743
"5-Fluorouracil","Ag_13","1hzh",-4.926,-2.13,0.1528,-0.7051,-0.5523,-0.2761
"5-Fluorouracil","Au_13","1hzh",-4.926,-2.12,0.1528,-0.7091,-0.5563,-0.2782
"5-Fluorouracil","Au_13","2hav",-5.327,-2.34,0.1059,-0.6778,-0.5719,-0.2859
"Arginine","Ag_13","2hav",-5.406,-2.17,0.1532,-0.7361,-0.5829,-0.2914
"Arginine","Ag_13","1ao6",-5.009,-2.24,0.139,-0.7264,-0.5875,-0.2937
"Histidine","Au_13","1ao6",-4.95,-2.34,0.0995,-0.6876,-0.5881,-0.2941
"Lysine","Ag_13","1hzh",-4.851,-2.13,0.1007,-0.7051,-0.6044,-0.3022
"Lysine","Au_13","1hzh",-4.851,-2.12,0.1007,-0.7091,-0.6085,-0.3042
"SDS_dodecyl_sulfate_anion","Ag_13","1hzh",-4.842,-2.13,0.0944,-0.7051,-0.6107,-0.3053
"4-Mercaptobenzoic_acid","Ag_13","1hzh",-4.841,-2.13,0.0937,-0.7051,-0.6114,-0.3057
"SDS_dodecyl_sulfate_anion","Au_13","1hzh",-4.842,-2.12,0.0944,-0.7091,-0.6147,-0.3074
"4-Mercaptobenzoic_acid","Au_13","1hzh",-4.841,-2.12,0.0937,-0.7091,-0.6154,-0.3077
"Lipoic_acid_thioctic_acid","Au_13","2hav",-5.252,-2.34,0.0609,-0.6778,-0.6168,-0.3084
"D-Glucose","Au_13","1ao6",-4.905,-2.34,0.0694,-0.6876,-0.6182,-0.3091
"Histidine","Ag_13","1ao6",-4.95,-2.24,0.0995,-0.7264,-0.6269,-0.3135
"5-Fluorouracil","Ag_13","2hav",-5.327,-2.17,0.1059,-0.7361,-0.6302,-0.3151
"11-Mercaptoundecanoic_acid_MUA","Au_13","2hav",-5.229,-2.34,0.0472,-0.6778,-0.6306,-0.3153
"D-Glucose","Ag_13","1ao6",-4.905,-2.24,0.0694,-0.7264,-0.657,-0.3285
"Dihydrolipoic_acid_DHLA","Au_13","2hav",-5.181,-2.34,0.0184,-0.6778,-0.6593,-0.3297
"Lipoic_acid_thioctic_acid","Ag_13","2hav",-5.252,-2.17,0.0609,-0.7361,-0.6751,-0.3376
"Sodium_citrate_citrate3-","Au_13","1ao6",-4.811,-2.34,0.0066,-0.6876,-0.6811,-0.3405
"D-Galactose","Au_13","1ao6",-4.806,-2.34,0.0032,-0.6876,-0.6844,-0.3422
"11-Mercaptoundecanoic_acid_MUA","Ag_13","2hav",-5.229,-2.17,0.0472,-0.7361,-0.6889,-0.3444
"Citric_acid","Au_13","1ao6",-4.765,-2.34,-0.0242,-0.6876,-0.7118,-0.3559
"Dihydrolipoic_acid_DHLA","Ag_13","2hav",-5.181,-2.17,0.0184,-0.7361,-0.7176,-0.3588
"Sodium_citrate_citrate3-","Ag_13","1ao6",-4.811,-2.24,0.0066,-0.7264,-0.7198,-0.3599
"D-Galactose","Ag_13","1ao6",-4.806,-2.24,0.0032,-0.7264,-0.7232,-0.3616
"Mannose","Au_13","1ao6",-4.721,-2.34,-0.0536,-0.6876,-0.7412,-0.3706
"1-Dodecanethiol","Au_13","1ao6",-4.709,-2.34,-0.0616,-0.6876,-0.7493,-0.3746
"Citric_acid","Ag_13","1ao6",-4.765,-2.24,-0.0242,-0.7264,-0.7506,-0.3753
"4-Mercaptobenzoic_acid","Au_13","2hav",-5.001,-2.34,-0.0894,-0.6778,-0.7672,-0.3836
"Mannose","Ag_13","1ao6",-4.721,-2.24,-0.0536,-0.7264,-0.78,-0.39
"1-Dodecanethiol","Ag_13","1ao6",-4.709,-2.24,-0.0616,-0.7264,-0.788,-0.394
"4-Mercaptobenzoic_acid","Ag_13","2hav",-5.001,-2.17,-0.0894,-0.7361,-0.8255,-0.4127
"PVP_monomer_N-vinyl-2-pyrrolidone","Ag_13","1hzh",-4.531,-2.13,-0.1219,-0.7051,-0.827,-0.4135
"Lysine","Au_13","1ao6",-4.592,-2.34,-0.1399,-0.6876,-0.8275,-0.4138
"PVP_monomer_N-vinyl-2-pyrrolidone","Au_13","1hzh",-4.531,-2.12,-0.1219,-0.7091,-0.831,-0.4155
"1-Dodecanethiol","Ag_13","1hzh",-4.525,-2.13,-0.126,-0.7051,-0.8311,-0.4156
"1-Dodecanethiol","Au_13","1hzh",-4.525,-2.12,-0.126,-0.7091,-0.8352,-0.4176
"11-Mercaptoundecanoic_acid_MUA","Ag_13","1hzh",-4.506,-2.13,-0.1392,-0.7051,-0.8443,-0.4222
"11-Mercaptoundecanoic_acid_MUA","Au_13","1hzh",-4.506,-2.12,-0.1392,-0.7091,-0.8484,-0.4242
"1-Dodecanethiol","Au_13","2hav",-4.842,-2.34,-0.1847,-0.6778,-0.8624,-0.4312
"Lysine","Ag_13","1ao6",-4.592,-2.24,-0.1399,-0.7264,-0.8663,-0.4331
"4-Aminothiophenol","Au_13","1ao6",-4.52,-2.34,-0.188,-0.6876,-0.8756,-0.4378
"Dithiothreitol_DTT","Ag_13","1hzh",-4.448,-2.13,-0.1796,-0.7051,-0.8847,-0.4423
"Dithiothreitol_DTT","Au_13","1hzh",-4.448,-2.12,-0.1796,-0.7091,-0.8887,-0.4444
"Lysine","Au_13","2hav",-4.766,-2.34,-0.2302,-0.6778,-0.908,-0.454
"4-Aminothiophenol","Ag_13","1ao6",-4.52,-2.24,-0.188,-0.7264,-0.9144,-0.4572
"PVP_monomer_N-vinyl-2-pyrrolidone","Au_13","2hav",-4.752,-2.34,-0.2386,-0.6778,-0.9163,-0.4582
"1-Dodecanethiol","Ag_13","2hav",-4.842,-2.17,-0.1847,-0.7361,-0.9207,-0.4604
"PVP_monomer_N-vinyl-2-pyrrolidone","Au_13","1ao6",-4.441,-2.34,-0.2408,-0.6876,-0.9285,-0.4642
"Lysine","Ag_13","2hav",-4.766,-2.17,-0.2302,-0.7361,-0.9662,-0.4831
"PVP_monomer_N-vinyl-2-pyrrolidone","Ag_13","1ao6",-4.441,-2.24,-0.2408,-0.7264,-0.9672,-0.4836
"PVP_monomer_N-vinyl-2-pyrrolidone","Ag_13","2hav",-4.752,-2.17,-0.2386,-0.7361,-0.9746,-0.4873
"PEG-thiol_n_6","Au_13","2hav",-4.643,-2.34,-0.3039,-0.6778,-0.9816,-0.4908
"mPEG-thiol_n_6_methyl-capped","Au_13","2hav",-4.626,-2.34,-0.3141,-0.6778,-0.9918,-0.4959
"2-Mercaptosuccinic_acid","Au_13","2hav",-4.604,-2.34,-0.3272,-0.6778,-1.005,-0.5025
"4-Aminothiophenol","Ag_13","1hzh",-4.245,-2.13,-0.3207,-0.7051,-1.0258,-0.5129
"4-Aminothiophenol","Au_13","1hzh",-4.245,-2.12,-0.3207,-0.7091,-1.0299,-0.5149
"mPEG-thiol_n_6_methyl-capped","Au_13","1ao6",-4.282,-2.34,-0.3471,-0.6876,-1.0348,-0.5174
"PEG-thiol_n_6","Ag_13","2hav",-4.643,-2.17,-0.3039,-0.7361,-1.0399,-0.52
"2-Mercaptosuccinic_acid","Au_13","1ao6",-4.27,-2.34,-0.3552,-0.6876,-1.0428,-0.5214
"mPEG-thiol_n_6_methyl-capped","Ag_13","2hav",-4.626,-2.17,-0.3141,-0.7361,-1.0501,-0.5251
"L-Homocysteine","Ag_13","1hzh",-4.206,-2.13,-0.3479,-0.7051,-1.053,-0.5265
"L-Homocysteine","Au_13","1hzh",-4.206,-2.12,-0.3479,-0.7091,-1.057,-0.5285
"PEG-amine_n_3_proxy","Au_13","2hav",-4.513,-2.34,-0.3818,-0.6778,-1.0595,-0.5298
"Dithiothreitol_DTT","Au_13","2hav",-4.512,-2.34,-0.3824,-0.6778,-1.0601,-0.5301
"Methionine","Ag_13","1hzh",-4.194,-2.13,-0.3562,-0.7051,-1.0613,-0.5307
"2-Mercaptosuccinic_acid","Ag_13","2hav",-4.604,-2.17,-0.3272,-0.7361,-1.0633,-0.5316
"Methionine","Au_13","1hzh",-4.194,-2.12,-0.3562,-0.7091,-1.0653,-0.5327
"PEG-amine_n_3_proxy","Ag_13","1hzh",-4.18,-2.13,-0.3659,-0.7051,-1.071,-0.5355
"mPEG-thiol_n_6_methyl-capped","Ag_13","1ao6",-4.282,-2.24,-0.3471,-0.7264,-1.0736,-0.5368
"PEG-amine_n_3_proxy","Au_13","1hzh",-4.18,-2.12,-0.3659,-0.7091,-1.0751,-0.5375
"2-Mercaptosuccinic_acid","Ag_13","1ao6",-4.27,-2.24,-0.3552,-0.7264,-1.0816,-0.5408
"PEG-amine_n_3_proxy","Ag_13","2hav",-4.513,-2.17,-0.3818,-0.7361,-1.1178,-0.5589
"Dithiothreitol_DTT","Ag_13","2hav",-4.512,-2.17,-0.3824,-0.7361,-1.1184,-0.5592
"PEG-amine_n_3_proxy","Au_13","1ao6",-4.153,-2.34,-0.4334,-0.6876,-1.121,-0.5605
"L-Homocysteine","Au_13","2hav",-4.41,-2.34,-0.4435,-0.6778,-1.1212,-0.5606
"Methionine","Au_13","2hav",-4.401,-2.34,-0.4488,-0.6778,-1.1266,-0.5633
"6-Mercaptohexanoic_acid","Ag_13","1hzh",-4.096,-2.13,-0.4244,-0.7051,-1.1294,-0.5647
"6-Mercaptohexanoic_acid","Au_13","1hzh",-4.096,-2.12,-0.4244,-0.7091,-1.1335,-0.5667
"PEG-thiol_n_4","Au_13","1ao6",-4.114,-2.34,-0.4595,-0.6876,-1.1471,-0.5736
"Dithiothreitol_DTT","Au_13","1ao6",-4.1,-2.34,-0.4688,-0.6876,-1.1565,-0.5782
"PEG-amine_n_3_proxy","Ag_13","1ao6",-4.153,-2.24,-0.4334,-0.7264,-1.1598,-0.5799
"L-Homocysteine","Ag_13","2hav",-4.41,-2.17,-0.4435,-0.7361,-1.1795,-0.5898
"Methionine","Ag_13","2hav",-4.401,-2.17,-0.4488,-0.7361,-1.1849,-0.5924
"PEG-thiol_n_4","Ag_13","1ao6",-4.114,-2.24,-0.4595,-0.7264,-1.1859,-0.5929
"Dithiothreitol_DTT","Ag_13","1ao6",-4.1,-2.24,-0.4688,-0.7264,-1.1952,-0.5976
"2-Mercaptosuccinic_acid","Ag_13","1hzh",-3.997,-2.13,-0.4932,-0.7051,-1.1983,-0.5991
"2-Mercaptosuccinic_acid","Au_13","1hzh",-3.997,-2.12,-0.4932,-0.7091,-1.2023,-0.6012
"PEG-thiol_n_4","Au_13","2hav",-4.264,-2.34,-0.5309,-0.6778,-1.2087,-0.6043
"PEG-thiol_n_3","Au_13","2hav",-4.248,-2.34,-0.5405,-0.6778,-1.2183,-0.6091
"mPEG-thiol_n_6_methyl-capped","Ag_13","1hzh",-3.962,-2.13,-0.5175,-0.7051,-1.2226,-0.6113
"mPEG-thiol_n_6_methyl-capped","Au_13","1hzh",-3.962,-2.12,-0.5175,-0.7091,-1.2267,-0.6133
"6-Mercaptohexanoic_acid","Au_13","1ao6",-3.99,-2.34,-0.5424,-0.6876,-1.23,-0.615
"Tris_buffer_Tris_base","Ag_13","1hzh",-3.93,-2.13,-0.5398,-0.7051,-1.2449,-0.6224
"Tris_buffer_Tris_base","Au_13","1hzh",-3.93,-2.12,-0.5398,-0.7091,-1.2489,-0.6245
"6-Mercaptohexanoic_acid","Au_13","2hav",-4.177,-2.34,-0.583,-0.6778,-1.2608,-0.6304
"PEG-thiol_n_4","Ag_13","2hav",-4.264,-2.17,-0.5309,-0.7361,-1.267,-0.6335
"PEG-thiol_n_6","Au_13","1ao6",-3.933,-2.34,-0.5805,-0.6876,-1.2681,-0.6341
"6-Mercaptohexanoic_acid","Ag_13","1ao6",-3.99,-2.24,-0.5424,-0.7264,-1.2688,-0.6344
"PEG-thiol_n_6","Ag_13","1hzh",-3.894,-2.13,-0.5648,-0.7051,-1.2699,-0.635
"L-Homocysteine","Au_13","1ao6",-3.928,-2.34,-0.5838,-0.6876,-1.2715,-0.6357
"PEG-thiol_n_6","Au_13","1hzh",-3.894,-2.12,-0.5648,-0.7091,-1.274,-0.637
"PEG-thiol_n_3","Ag_13","2hav",-4.248,-2.17,-0.5405,-0.7361,-1.2766,-0.6383
"PEG-dithiol_n_3","Au_13","2hav",-4.13,-2.34,-0.6112,-0.6778,-1.2889,-0.6445
"PEG-thiol_n_6","Ag_13","1ao6",-3.933,-2.24,-0.5805,-0.7264,-1.3069,-0.6535
"L-Homocysteine","Ag_13","1ao6",-3.928,-2.24,-0.5838,-0.7264,-1.3103,-0.6551
"6-Mercaptohexanoic_acid","Ag_13","2hav",-4.177,-2.17,-0.583,-0.7361,-1.3191,-0.6595
"Methionine","Au_13","1ao6",-3.854,-2.34,-0.6333,-0.6876,-1.321,-0.6605
"4-Aminothiophenol","Au_13","2hav",-4.056,-2.34,-0.6555,-0.6778,-1.3333,-0.6666
"PEG-dithiol_n_3","Ag_13","2hav",-4.13,-2.17,-0.6112,-0.7361,-1.3472,-0.6736
"Methionine","Ag_13","1ao6",-3.854,-2.24,-0.6333,-0.7264,-1.3597,-0.6799
"mPEG-thiol_n_3_methyl-capped","Au_13","2hav",-4.006,-2.34,-0.6855,-0.6778,-1.3632,-0.6816
"Tris_buffer_Tris_base","Au_13","2hav",-4.001,-2.34,-0.6885,-0.6778,-1.3662,-0.6831
"PEG-thiol_n_3","Au_13","1ao6",-3.783,-2.34,-0.6808,-0.6876,-1.3684,-0.6842
"L-Cysteine","Au_13","1ao6",-3.76,-2.34,-0.6962,-0.6876,-1.3838,-0.6919
"4-Aminothiophenol","Ag_13","2hav",-4.056,-2.17,-0.6555,-0.7361,-1.3916,-0.6958
"mPEG-thiol_n_3_methyl-capped","Au_13","1ao6",-3.745,-2.34,-0.7062,-0.6876,-1.3938,-0.6969
"PEG-thiol_n_3","Ag_13","1ao6",-3.783,-2.24,-0.6808,-0.7264,-1.4072,-0.7036
"3-Mercapto-1-propanesulfonic_acid_MPS","Au_13","2hav",-3.929,-2.34,-0.7316,-0.6778,-1.4094,-0.7047
"mPEG-thiol_n_3_methyl-capped","Ag_13","2hav",-4.006,-2.17,-0.6855,-0.7361,-1.4215,-0.7108
"L-Cysteine","Ag_13","1ao6",-3.76,-2.24,-0.6962,-0.7264,-1.4226,-0.7113
"Tris_buffer_Tris_base","Ag_13","2hav",-4.001,-2.17,-0.6885,-0.7361,-1.4245,-0.7123
"Tris_buffer_Tris_base","Au_13","1ao6",-3.688,-2.34,-0.7443,-0.6876,-1.432,-0.716
"mPEG-thiol_n_3_methyl-capped","Ag_13","1ao6",-3.745,-2.24,-0.7062,-0.7264,-1.4326,-0.7163
"L-Cysteine","Au_13","2hav",-3.864,-2.34,-0.7705,-0.6778,-1.4483,-0.7241
"1-Hexanethiol","Au_13","1ao6",-3.657,-2.34,-0.765,-0.6876,-1.4527,-0.7263
"3-Mercapto-1-propanesulfonic_acid_MPS","Ag_13","1hzh",-3.627,-2.13,-0.7505,-0.7051,-1.4556,-0.7278
"PEG-dithiol_n_3","Au_13","1ao6",-3.649,-2.34,-0.7704,-0.6876,-1.458,-0.729
"3-Mercapto-1-propanesulfonic_acid_MPS","Au_13","1hzh",-3.627,-2.12,-0.7505,-0.7091,-1.4596,-0.7298
"3-Mercapto-1-propanesulfonic_acid_MPS","Ag_13","2hav",-3.929,-2.17,-0.7316,-0.7361,-1.4676,-0.7338
"Tris_buffer_Tris_base","Ag_13","1ao6",-3.688,-2.24,-0.7443,-0.7264,-1.4707,-0.7354
"PEG-thiol_n_4","Ag_13","1hzh",-3.586,-2.13,-0.779,-0.7051,-1.4841,-0.7421
"PEG-thiol_n_3","Ag_13","1hzh",-3.581,-2.13,-0.7825,-0.7051,-1.4876,-0.7438
"PEG-thiol_n_4","Au_13","1hzh",-3.586,-2.12,-0.779,-0.7091,-1.4881,-0.7441
"1-Hexanethiol","Ag_13","1ao6",-3.657,-2.24,-0.765,-0.7264,-1.4915,-0.7457
"PEG-thiol_n_3","Au_13","1hzh",-3.581,-2.12,-0.7825,-0.7091,-1.4916,-0.7458
"PEG-dithiol_n_3","Ag_13","1ao6",-3.649,-2.24,-0.7704,-0.7264,-1.4968,-0.7484
"L-Cysteine","Ag_13","1hzh",-3.566,-2.13,-0.7929,-0.7051,-1.498,-0.749
"3-Mercapto-1-propanesulfonic_acid_MPS","Au_13","1ao6",-3.585,-2.34,-0.8132,-0.6876,-1.5008,-0.7504
"L-Cysteine","Au_13","1hzh",-3.566,-2.12,-0.7929,-0.7091,-1.502,-0.751
"L-Cysteine","Ag_13","2hav",-3.864,-2.17,-0.7705,-0.7361,-1.5066,-0.7533
"3-Mercapto-1-propanesulfonic_acid_MPS","Ag_13","1ao6",-3.585,-2.24,-0.8132,-0.7264,-1.5396,-0.7698
"mPEG-thiol_n_3_methyl-capped","Ag_13","1hzh",-3.471,-2.13,-0.859,-0.7051,-1.5641,-0.782
"mPEG-thiol_n_3_methyl-capped","Au_13","1hzh",-3.471,-2.12,-0.859,-0.7091,-1.5681,-0.7841
"PEG-dithiol_n_3","Ag_13","1hzh",-3.431,-2.13,-0.8868,-0.7051,-1.5919,-0.7959
"PEG-dithiol_n_3","Au_13","1hzh",-3.431,-2.12,-0.8868,-0.7091,-1.5959,-0.798
"1-Hexanethiol","Ag_13","1hzh",-3.382,-2.13,-0.9209,-0.7051,-1.626,-0.813
"1-Hexanethiol","Au_13","1hzh",-3.382,-2.12,-0.9209,-0.7091,-1.63,-0.815
"3-Mercaptopropionic_acid","Au_13","2hav",-3.557,-2.34,-0.9544,-0.6778,-1.6322,-0.8161
"Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol","Au_13","2hav",-3.527,-2.34,-0.9724,-0.6778,-1.6502,-0.8251
"3-Mercaptopropionic_acid","Au_13","1ao6",-3.343,-2.34,-0.975,-0.6876,-1.6626,-0.8313
"1-Hexanethiol","Au_13","2hav",-3.479,-2.34,-1.0012,-0.6778,-1.6789,-0.8395
"3-Mercaptopropionic_acid","Ag_13","2hav",-3.557,-2.17,-0.9544,-0.7361,-1.6905,-0.8452
"3-Mercaptopropionic_acid","Ag_13","1ao6",-3.343,-2.24,-0.975,-0.7264,-1.7014,-0.8507
"Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol","Au_13","1ao6",-3.279,-2.34,-1.0178,-0.6876,-1.7054,-0.8527
"Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol","Ag_13","2hav",-3.527,-2.17,-0.9724,-0.7361,-1.7085,-0.8542
"1-Hexanethiol","Ag_13","2hav",-3.479,-2.17,-1.0012,-0.7361,-1.7372,-0.8686
"Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol","Ag_13","1ao6",-3.279,-2.24,-1.0178,-0.7264,-1.7442,-0.8721
"3-Mercaptopropionic_acid","Ag_13","1hzh",-3.189,-2.13,-1.0551,-0.7051,-1.7602,-0.8801
"3-Mercaptopropionic_acid","Au_13","1hzh",-3.189,-2.12,-1.0551,-0.7091,-1.7642,-0.8821
"Thioglycolic_acid_mercaptoacetic_acid","Au_13","2hav",-3.313,-2.34,-1.1006,-0.6778,-1.7784,-0.8892
"Thioglycolic_acid_mercaptoacetic_acid","Ag_13","2hav",-3.313,-2.17,-1.1006,-0.7361,-1.8367,-0.9183
"Thioglycolic_acid_mercaptoacetic_acid","Au_13","1ao6",-3.074,-2.34,-1.1549,-0.6876,-1.8425,-0.9212
"1-Butanethiol","Au_13","1ao6",-3.07,-2.34,-1.1575,-0.6876,-1.8452,-0.9226
"Thioglycolic_acid_mercaptoacetic_acid","Ag_13","1ao6",-3.074,-2.24,-1.1549,-0.7264,-1.8813,-0.9406
"1-Butanethiol","Ag_13","1ao6",-3.07,-2.24,-1.1575,-0.7264,-1.8839,-0.942
"Polyethyleneimine_fragment_ethylenediamine","Au_13","1ao6",-2.975,-2.34,-1.2211,-0.6876,-1.9087,-0.9543
"Polyethyleneimine_fragment_ethylenediamine","Ag_13","1hzh",-2.94,-2.13,-1.2282,-0.7051,-1.9333,-0.9667
"Polyethyleneimine_fragment_ethylenediamine","Au_13","1hzh",-2.94,-2.12,-1.2282,-0.7091,-1.9374,-0.9687
"Polyethyleneimine_fragment_ethylenediamine","Ag_13","1ao6",-2.975,-2.24,-1.2211,-0.7264,-1.9475,-0.9737
"Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol","Ag_13","1hzh",-2.87,-2.13,-1.2769,-0.7051,-1.982,-0.991
"Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol","Au_13","1hzh",-2.87,-2.12,-1.2769,-0.7091,-1.986,-0.993
"Thioglycolic_acid_mercaptoacetic_acid","Ag_13","1hzh",-2.822,-2.13,-1.3103,-0.7051,-2.0154,-1.0077
"Thioglycolic_acid_mercaptoacetic_acid","Au_13","1hzh",-2.822,-2.12,-1.3103,-0.7091,-2.0194,-1.0097
"Polyethyleneimine_fragment_ethylenediamine","Au_13","2hav",-2.903,-2.34,-1.3462,-0.6778,-2.024,-1.012
"1-Butanethiol","Ag_13","1hzh",-2.759,-2.13,-1.3541,-0.7051,-2.0592,-1.0296
"1-Butanethiol","Au_13","1hzh",-2.759,-2.12,-1.3541,-0.7091,-2.0632,-1.0316
"1-Butanethiol","Au_13","2hav",-2.821,-2.34,-1.3953,-0.6778,-2.0731,-1.0366
"Polyethyleneimine_fragment_ethylenediamine","Ag_13","2hav",-2.903,-2.17,-1.3462,-0.7361,-2.0823,-1.0411
"Thioacetic_acid","Au_13","1ao6",-2.705,-2.34,-1.4016,-0.6876,-2.0892,-1.0446
"Mercaptoethanol_2-mercaptoethanol","Au_13","2hav",-2.738,-2.34,-1.4451,-0.6778,-2.1228,-1.0614
"Thioacetic_acid","Ag_13","1ao6",-2.705,-2.24,-1.4016,-0.7264,-2.128,-1.064
"Thioacetic_acid","Au_13","2hav",-2.728,-2.34,-1.4511,-0.6778,-2.1288,-1.0644
"1-Butanethiol","Ag_13","2hav",-2.821,-2.17,-1.3953,-0.7361,-2.1314,-1.0657
"Mercaptoethanol_2-mercaptoethanol","Ag_13","1hzh",-2.626,-2.13,-1.4466,-0.7051,-2.1517,-1.0758
"Mercaptoethanol_2-mercaptoethanol","Au_13","1hzh",-2.626,-2.12,-1.4466,-0.7091,-2.1557,-1.0779
"Cysteamine_2-aminoethanethiol","Au_13","2hav",-2.68,-2.34,-1.4798,-0.6778,-2.1576,-1.0788
"Cysteamine_2-aminoethanethiol","Ag_13","1hzh",-2.616,-2.13,-1.4535,-0.7051,-2.1586,-1.0793
"Cysteamine_2-aminoethanethiol","Au_13","1hzh",-2.616,-2.12,-1.4535,-0.7091,-2.1627,-1.0813
"Cysteamine_2-aminoethanethiol","Au_13","1ao6",-2.571,-2.34,-1.4912,-0.6876,-2.1788,-1.0894
"Mercaptoethanol_2-mercaptoethanol","Au_13","1ao6",-2.571,-2.34,-1.4912,-0.6876,-2.1788,-1.0894
"Mercaptoethanol_2-mercaptoethanol","Ag_13","2hav",-2.738,-2.17,-1.4451,-0.7361,-2.1811,-1.0906
"Thioacetic_acid","Ag_13","2hav",-2.728,-2.17,-1.4511,-0.7361,-2.1871,-1.0936
"Cysteamine_2-aminoethanethiol","Ag_13","2hav",-2.68,-2.17,-1.4798,-0.7361,-2.2159,-1.1079
"Cysteamine_2-aminoethanethiol","Ag_13","1ao6",-2.571,-2.24,-1.4912,-0.7264,-2.2176,-1.1088
"Mercaptoethanol_2-mercaptoethanol","Ag_13","1ao6",-2.571,-2.24,-1.4912,-0.7264,-2.2176,-1.1088
"Thioacetic_acid","Ag_13","1hzh",-2.524,-2.13,-1.5175,-0.7051,-2.2226,-1.1113
"Thioacetic_acid","Au_13","1hzh",-2.524,-2.12,-1.5175,-0.7091,-2.2266,-1.1133
