ligando,nanoparticula,proteina,ICNB_0_100,ICNB_global_0_100,ICNB_bruto,ranking_ICNB_por_proteina,ranking_ICNB_global,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
Curcumin,Au_13,1ao6,53.13912576931604,53.11470445572872,0.6393555101881476,31,92,-7.742,-2.34,1.9663411292266952,-0.6876301088504001,1.2787110203762952,0.6393555101881476
Lysine,ZnO_12_0,1ao6,53.07002702756624,53.045815777442776,0.6370823215863198,32,94,-4.592,-7.76,-0.1398717084858901,1.4140363516585297,1.2741646431726394,0.6370823215863197
Curcumin,Ag_13,1ao6,52.54978134267104,52.527151664192104,0.619967443209283,33,98,-7.742,-2.24,1.9663411292266952,-0.7264062428081293,1.239934886418566,0.619967443209283
4-Aminothiophenol,ZnO_12_0,1ao6,52.338334075202624,52.316347206481176,0.6130113177267473,34,101,-4.52,-7.76,-0.188013716205035,1.4140363516585297,1.2260226354534944,0.6130113177267472
Methotrexate,Au_13,1ao6,51.84850070056353,51.82800294861588,0.5968969339358463,35,103,-7.615,-2.34,1.8814239767220928,-0.6876301088504001,1.1937938678716926,0.5968969339358463
PVP_monomer_N-vinyl-2-pyrrolidone,ZnO_12_0,1ao6,51.535504308025864,51.51595808000941,0.5866000773808278,36,107,-4.441,-7.76,-0.2408361968968742,1.4140363516585297,1.1732001547616553,0.5866000773808276
Methotrexate,Ag_13,1ao6,51.25915627391853,51.24045015707927,0.5775088669569818,37,111,-7.615,-2.24,1.8814239767220928,-0.7264062428081293,1.1550177339139631,0.5775088669569817
Tannic_acid_approx,Au_13,1ao6,50.99485892280596,50.976956282494,0.5688140960996784,38,112,-7.531,-2.34,1.8252583010497567,-0.6876301088504001,1.1376281921993567,0.5688140960996784
Tannic_acid_approx,Ag_13,1ao6,50.40551449616096,50.38940349095739,0.5494260291208137,39,117,-7.531,-2.24,1.8252583010497567,-0.7264062428081293,1.0988520582416277,0.5494260291208137
mPEG-thiol_n_6_methyl-capped,ZnO_12_0,1ao6,49.91968237155619,49.90504831913587,0.5334432771909388,40,122,-4.282,-7.76,-0.3471497972766522,1.4140363516585297,1.0668865543818773,0.5334432771909386
2-Mercaptosuccinic_acid,ZnO_12_0,1ao6,49.79773354616224,49.78347022397559,0.5294314432143432,41,124,-4.27,-7.76,-0.3551734652298433,1.4140363516585297,1.0588628864286862,0.5294314432143431
TAT_peptide_fragment_YGRKKK_6_aa,Au_13,1ao6,49.66358424558881,49.649728743661086,0.5250182418551788,42,126,-7.4,-2.34,1.7376665925607575,-0.6876301088504001,1.0500364837103575,0.5250182418551788
TAT_peptide_fragment_YGRKKK_6_aa,Ag_13,1ao6,49.07423981894381,49.06217595212448,0.5056301748763141,43,131,-7.4,-2.24,1.7376665925607575,-0.7264062428081293,1.0112603497526282,0.5056301748763141
PEG-amine_n_3_proxy,ZnO_12_0,1ao6,48.608732498571364,48.598083796162996,0.4903160619425381,44,133,-4.153,-7.76,-0.4334042277734536,1.4140363516585297,0.980632123885076,0.4903160619425379
PEG-thiol_n_4,ZnO_12_0,1ao6,48.21239881604106,48.20295498689212,0.4772776015186031,45,136,-4.114,-7.76,-0.4594811486213235,1.4140363516585297,0.954555203037206,0.477277601518603
Dithiothreitol_DTT,ZnO_12_0,1ao6,48.070125186414806,48.06111387587181,0.4725971285459084,46,137,-4.1,-7.76,-0.4688420945667129,1.4140363516585297,0.9451942570918166,0.4725971285459083
6-Mercaptohexanoic_acid,ZnO_12_0,1ao6,46.95226095363704,46.94664800356936,0.4358219837604507,47,145,-3.99,-7.76,-0.5423923841376282,1.4140363516585297,0.8716439675209012,0.4358219837604506
PEG-thiol_n_6,ZnO_12_0,1ao6,46.37300403301583,46.36915205155808,0.41676577237162243,48,147,-3.933,-7.76,-0.5805048069152848,1.4140363516585297,0.8335315447432446,0.4167657723716223
L-Homocysteine,ZnO_12_0,1ao6,46.322192022435026,46.31849451190797,0.4150941748813744,49,149,-3.928,-7.76,-0.5838480018957809,1.4140363516585297,0.8301883497627486,0.4150941748813743
