ligando,nanoparticula,proteina,ICNB_0_100,ICNB_global_0_100,ICNB_bruto,ranking_ICNB_por_proteina,ranking_ICNB_global,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
Biotin,Ag_13,1ao6,40.98496773447927,40.99749563982672,0.23951185442881917,62,179,-6.604,-2.24,1.2054299516657676,-0.7264062428081293,0.4790237088576383,0.2395118544288191
RGD_peptide_Arg-Gly-Asp,Ag_13,1ao6,40.46668522655503,40.48078873539558,0.22246156002828865,63,183,-6.553,-2.24,1.1713293628647066,-0.7264062428081293,0.4449231200565773,0.2224615600282886
3-Mercaptopropionic_acid,ZnO_12_0,1ao6,40.37718678448055,40.391562372844916,0.21951726852234865,64,185,-3.343,-7.76,-0.9750018146138324,1.4140363516585297,0.4390345370446971,0.2195172685223485
Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,ZnO_12_0,1ao6,39.726793049046215,39.74314586532349,0.1981208206471733,65,189,-3.279,-7.76,-1.0177947103641831,1.4140363516585297,0.3962416412943461,0.198120820647173
Thioglycolic_acid_mercaptoacetic_acid,ZnO_12_0,1ao6,37.643500615233116,37.666186739668916,0.1295853235470017,66,194,-3.074,-7.76,-1.1548657045645263,1.4140363516585297,0.2591706470940031,0.1295853235470015
1-Butanethiol,ZnO_12_0,1ao6,37.60285100676847,37.625660707948825,0.1282480455548033,67,195,-3.07,-7.76,-1.1575402605489231,1.4140363516585297,0.2564960911096063,0.1282480455548031
Polyethyleneimine_fragment_ethylenediamine,ZnO_12_0,1ao6,36.63742280573313,36.66316745459671,0.09648769324008977,68,197,-2.975,-7.76,-1.2210609651783502,1.4140363516585297,0.1929753864801793,0.0964876932400896
Glutathione_GSH,Au_13,1ao6,35.34475966391727,35.37443407025965,0.05396206910326862,69,203,-5.991,-2.34,0.7955542470569373,-0.6876301088504001,0.1079241382065372,0.0539620691032686
Glutathione_GSH,Ag_13,1ao6,34.755415237272274,34.786881278723044,0.034574002124404035,70,205,-5.991,-2.24,0.7955542470569373,-0.7264062428081293,0.069148004248808,0.034574002124404
Thioacetic_acid,ZnO_12_0,1ao6,33.89357423436953,33.92766031349069,0.006221428766693293,71,211,-2.705,-7.76,-1.4015934941251431,1.4140363516585297,0.0124428575333863,0.0062214287666931
Cysteamine_2-aminoethanethiol,ZnO_12_0,1ao6,32.5318123508039,32.57003825086771,-0.038577383971955315,72,217,-2.571,-7.76,-1.4911911196024403,1.4140363516585297,-0.0771547679439108,-0.0385773839719554
Mercaptoethanol_2-mercaptoethanol,ZnO_12_0,1ao6,32.5318123508039,32.57003825086771,-0.038577383971955315,72,217,-2.571,-7.76,-1.4911911196024403,1.4140363516585297,-0.0771547679439108,-0.0385773839719554
HEPES,Au_13,1ao6,31.320448425917323,31.36235692997082,-0.07842845212437954,73,221,-5.595,-2.34,0.530773204601641,-0.6876301088504001,-0.1568569042487591,-0.0784284521243795
HEPES,Ag_13,1ao6,30.731103999272328,30.77480413843421,-0.09781651910324413,74,225,-5.595,-2.24,0.530773204601641,-0.7264062428081293,-0.1956330382064882,-0.0978165191032441
Lipoic_acid_thioctic_acid,Au_13,1ao6,29.28796800268502,29.33605534396635,-0.145292351734303,75,231,-5.395,-2.34,0.3970454053817941,-0.6876301088504001,-0.2905847034686059,-0.1452923517343029
Lipoic_acid_thioctic_acid,Ag_13,1ao6,28.698623576040024,28.748502552429738,-0.16468041871316758,76,238,-5.395,-2.24,0.3970454053817941,-0.7264062428081293,-0.3293608374263351,-0.1646804187131675
5-Fluorouracil,Au_13,1ao6,28.39367661646282,28.444482646124396,-0.17471246756266895,77,239,-5.307,-2.34,0.3382051737250622,-0.6876301088504001,-0.3494249351253379,-0.1747124675626689
11-Mercaptoundecanesulfonic_acid_MUS,Au_13,1ao6,28.068479748745652,28.120274392363683,-0.1854106915002567,78,244,-5.275,-2.34,0.3168087258498867,-0.6876301088504001,-0.3708213830005133,-0.1854106915002566
SDS_dodecyl_sulfate_anion,Au_13,1ao6,27.997342933932515,28.04935383685352,-0.1877509279866042,79,246,-5.268,-2.34,0.3121282528771917,-0.6876301088504001,-0.3755018559732084,-0.1877509279866042
5-Fluorouracil,Ag_13,1ao6,27.804332189817824,27.85692985458779,-0.19410053454153353,80,249,-5.307,-2.24,0.3382051737250622,-0.7264062428081293,-0.388201069083067,-0.1941005345415335
