ligando,nanoparticula,proteina,y_ligando_proteina,E_nano_proteina,score_ligando_proteina,score_nano_proteina,score_contextual,score_contextual_medio
HEPES,Ag_13,1hzh,-5.747,-2.13,0.7237357927149115,-0.7050874408894409,0.018648351825470644,0.009324175912735322
HEPES,Au_13,1hzh,-5.747,-2.12,0.7237357927149115,-0.7091242010472047,0.014611591667706758,0.007305795833853379
Mercaptoethanol_2-mercaptoethanol,ZnO_12_0,1hzh,-2.626,-7.38,-1.4465925009825462,1.4142116419366457,-0.03238085904590049,-0.016190429522950245
Cysteamine_2-aminoethanethiol,ZnO_12_0,1hzh,-2.616,-7.38,-1.4535464525804231,1.4142116419366457,-0.03933481064377742,-0.01966740532188871
Thioacetic_acid,ZnO_12_0,1hzh,-2.524,-7.38,-1.517522807280893,1.4142116419366457,-0.10331116534424734,-0.05165558267212367
Glutathione_GSH,Ag_13,1hzh,-5.569,-2.13,0.5999554542726984,-0.7050874408894409,-0.1051319866167425,-0.05256599330837125
Glutathione_GSH,Au_13,1hzh,-5.569,-2.12,0.5999554542726984,-0.7091242010472047,-0.10916874677450639,-0.05458437338725319
Arginine,Ag_13,1hzh,-5.494,-2.13,0.5478008172886196,-0.7050874408894409,-0.15728662360082124,-0.07864331180041062
Arginine,Au_13,1hzh,-5.494,-2.12,0.5478008172886196,-0.7091242010472047,-0.16132338375858513,-0.08066169187929256
Citric_acid,Ag_13,1hzh,-5.439,-2.13,0.5095540835002955,-0.7050874408894409,-0.19553335738914535,-0.09776667869457267
Citric_acid,Au_13,1hzh,-5.439,-2.12,0.5095540835002955,-0.7091242010472047,-0.19957011754690923,-0.09978505877345462
Lipoic_acid_thioctic_acid,Ag_13,1hzh,-5.311,-2.13,0.4205435030474679,-0.7050874408894409,-0.28454393784197296,-0.14227196892098648
Lipoic_acid_thioctic_acid,Au_13,1hzh,-5.311,-2.12,0.4205435030474679,-0.7091242010472047,-0.28858069799973685,-0.14429034899986842
Mannose,Ag_13,1hzh,-5.292,-2.13,0.4073309950115012,-0.7050874408894409,-0.29775644587793965,-0.14887822293896982
Mannose,Au_13,1hzh,-5.292,-2.12,0.4073309950115012,-0.7091242010472047,-0.30179320603570353,-0.15089660301785177
Histidine,Ag_13,1hzh,-5.211,-2.13,0.3510039870686967,-0.7050874408894409,-0.3540834538207442,-0.1770417269103721
Histidine,Au_13,1hzh,-5.211,-2.12,0.3510039870686967,-0.7091242010472047,-0.3581202139785081,-0.17906010698925404
Sodium_citrate_citrate3-,Ag_13,1hzh,-5.172,-2.13,0.3238835758369754,-0.7050874408894409,-0.38120386505246545,-0.19060193252623273
Sodium_citrate_citrate3-,Au_13,1hzh,-5.172,-2.12,0.3238835758369754,-0.7091242010472047,-0.38524062521022934,-0.19262031260511467
Dihydrolipoic_acid_DHLA,Ag_13,1hzh,-5.111,-2.13,0.28146447108992484,-0.7050874408894409,-0.423622969799516,-0.211811484899758
Dihydrolipoic_acid_DHLA,Au_13,1hzh,-5.111,-2.12,0.28146447108992484,-0.7091242010472047,-0.4276597299572799,-0.21382986497863996
D-Galactose,Ag_13,1hzh,-5.085,-2.13,0.2633841969354444,-0.7050874408894409,-0.44170324395399646,-0.22085162197699823
D-Galactose,Au_13,1hzh,-5.085,-2.12,0.2633841969354444,-0.7091242010472047,-0.44574000411176035,-0.22287000205588017
D-Glucose,Ag_13,1hzh,-5.079,-2.13,0.25921182597671794,-0.7050874408894409,-0.44587561491272293,-0.22293780745636146
D-Glucose,Au_13,1hzh,-5.079,-2.12,0.25921182597671794,-0.7091242010472047,-0.4499123750704868,-0.2249561875352434
11-Mercaptoundecanesulfonic_acid_MUS,Ag_13,1hzh,-5.009,-2.13,0.21053416479157833,-0.7050874408894409,-0.49455327609786254,-0.24727663804893127
11-Mercaptoundecanesulfonic_acid_MUS,Au_13,1hzh,-5.009,-2.12,0.21053416479157833,-0.7091242010472047,-0.4985900362556264,-0.2492950181278132
5-Fluorouracil,Ag_13,1hzh,-4.926,-2.13,0.15281636652919786,-0.7050874408894409,-0.552271074360243,-0.2761355371801215
5-Fluorouracil,Au_13,1hzh,-4.926,-2.12,0.15281636652919786,-0.7091242010472047,-0.5563078345180069,-0.27815391725900346
Lysine,Ag_13,1hzh,-4.851,-2.13,0.10066172954511915,-0.7050874408894409,-0.6044257113443217,-0.30221285567216083
Lysine,Au_13,1hzh,-4.851,-2.12,0.10066172954511915,-0.7091242010472047,-0.6084624715020857,-0.30423123575104283
SDS_dodecyl_sulfate_anion,Ag_13,1hzh,-4.842,-2.13,0.09440317310702948,-0.7050874408894409,-0.6106842677824114,-0.3053421338912057
4-Mercaptobenzoic_acid,Ag_13,1hzh,-4.841,-2.13,0.09370777794724215,-0.7050874408894409,-0.6113796629421987,-0.30568983147109935
SDS_dodecyl_sulfate_anion,Au_13,1hzh,-4.842,-2.12,0.09440317310702948,-0.7091242010472047,-0.6147210279401752,-0.3073605139700876
4-Mercaptobenzoic_acid,Au_13,1hzh,-4.841,-2.12,0.09370777794724215,-0.7091242010472047,-0.6154164230999626,-0.3077082115499813
PVP_monomer_N-vinyl-2-pyrrolidone,Ag_13,1hzh,-4.531,-2.13,-0.12186472158694978,-0.7050874408894409,-0.8269521624763907,-0.41347608123819535
PVP_monomer_N-vinyl-2-pyrrolidone,Au_13,1hzh,-4.531,-2.12,-0.12186472158694978,-0.7091242010472047,-0.8309889226341545,-0.41549446131707723
1-Dodecanethiol,Ag_13,1hzh,-4.525,-2.13,-0.1260370925456756,-0.7050874408894409,-0.8311245334351165,-0.41556226671755825
1-Dodecanethiol,Au_13,1hzh,-4.525,-2.12,-0.1260370925456756,-0.7091242010472047,-0.8351612935928804,-0.4175806467964402
11-Mercaptoundecanoic_acid_MUA,Ag_13,1hzh,-4.506,-2.13,-0.13924960058164226,-0.7050874408894409,-0.8443370414710831,-0.42216852073554156
11-Mercaptoundecanoic_acid_MUA,Au_13,1hzh,-4.506,-2.12,-0.13924960058164226,-0.7091242010472047,-0.848373801628847,-0.4241869008144235
Dithiothreitol_DTT,Ag_13,1hzh,-4.448,-2.13,-0.1795825198493296,-0.7050874408894409,-0.8846699607387705,-0.44233498036938523
Dithiothreitol_DTT,Au_13,1hzh,-4.448,-2.12,-0.1795825198493296,-0.7091242010472047,-0.8887067208965344,-0.4443533604482672
4-Aminothiophenol,Ag_13,1hzh,-4.245,-2.13,-0.3207477372862359,-0.7050874408894409,-1.0258351781756767,-0.5129175890878384
4-Aminothiophenol,Au_13,1hzh,-4.245,-2.12,-0.3207477372862359,-0.7091242010472047,-1.0298719383334407,-0.5149359691667204
L-Homocysteine,Ag_13,1hzh,-4.206,-2.13,-0.34786814851795655,-0.7050874408894409,-1.0529555894073974,-0.5264777947036987
L-Homocysteine,Au_13,1hzh,-4.206,-2.12,-0.34786814851795655,-0.7091242010472047,-1.0569923495651614,-0.5284961747825807
Methionine,Ag_13,1hzh,-4.194,-2.13,-0.3562128904354095,-0.7050874408894409,-1.0613003313248504,-0.5306501656624252
Methionine,Au_13,1hzh,-4.194,-2.12,-0.3562128904354095,-0.7091242010472047,-1.0653370914826144,-0.5326685457413072
PEG-amine_n_3_proxy,Ag_13,1hzh,-4.18,-2.13,-0.36594842267243766,-0.7050874408894409,-1.0710358635618786,-0.5355179317809393
PEG-amine_n_3_proxy,Au_13,1hzh,-4.18,-2.12,-0.36594842267243766,-0.7091242010472047,-1.0750726237196424,-0.5375363118598212
6-Mercaptohexanoic_acid,Ag_13,1hzh,-4.096,-2.13,-0.42436161609460543,-0.7050874408894409,-1.1294490569840463,-0.5647245284920231
6-Mercaptohexanoic_acid,Au_13,1hzh,-4.096,-2.12,-0.42436161609460543,-0.7091242010472047,-1.13348581714181,-0.566742908570905
2-Mercaptosuccinic_acid,Ag_13,1hzh,-3.997,-2.13,-0.4932057369135893,-0.7050874408894409,-1.1982931778030301,-0.5991465889015151
2-Mercaptosuccinic_acid,Au_13,1hzh,-3.997,-2.12,-0.4932057369135893,-0.7091242010472047,-1.2023299379607941,-0.6011649689803971
mPEG-thiol_n_6_methyl-capped,Ag_13,1hzh,-3.962,-2.13,-0.5175445675061592,-0.7050874408894409,-1.2226320083956002,-0.6113160041978001
mPEG-thiol_n_6_methyl-capped,Au_13,1hzh,-3.962,-2.12,-0.5175445675061592,-0.7091242010472047,-1.226668768553364,-0.613334384276682
Tris_buffer_Tris_base,Ag_13,1hzh,-3.93,-2.13,-0.539797212619366,-0.7050874408894409,-1.244884653508807,-0.6224423267544035
Tris_buffer_Tris_base,Au_13,1hzh,-3.93,-2.12,-0.539797212619366,-0.7091242010472047,-1.2489214136665707,-0.6244607068332854
PEG-thiol_n_6,Ag_13,1hzh,-3.894,-2.13,-0.5648314383717238,-0.7050874408894409,-1.2699188792611646,-0.6349594396305823
PEG-thiol_n_6,Au_13,1hzh,-3.894,-2.12,-0.5648314383717238,-0.7091242010472047,-1.2739556394189284,-0.6369778197094642
3-Mercapto-1-propanesulfonic_acid_MPS,Ag_13,1hzh,-3.627,-2.13,-0.7505019460350438,-0.7050874408894409,-1.4555893869244847,-0.7277946934622423
3-Mercapto-1-propanesulfonic_acid_MPS,Au_13,1hzh,-3.627,-2.12,-0.7505019460350438,-0.7091242010472047,-1.4596261470822487,-0.7298130735411243
PEG-thiol_n_4,Ag_13,1hzh,-3.586,-2.13,-0.7790131475863401,-0.7050874408894409,-1.484100588475781,-0.7420502942378905
PEG-thiol_n_3,Ag_13,1hzh,-3.581,-2.13,-0.7824901233852786,-0.7050874408894409,-1.4875775642747193,-0.7437887821373597
PEG-thiol_n_4,Au_13,1hzh,-3.586,-2.12,-0.7790131475863401,-0.7091242010472047,-1.4881373486335447,-0.7440686743167724
PEG-thiol_n_3,Au_13,1hzh,-3.581,-2.12,-0.7824901233852786,-0.7091242010472047,-1.4916143244324833,-0.7458071622162417
L-Cysteine,Ag_13,1hzh,-3.566,-2.13,-0.7929210507820944,-0.7050874408894409,-1.4980084916715353,-0.7490042458357676
L-Cysteine,Au_13,1hzh,-3.566,-2.12,-0.7929210507820944,-0.7091242010472047,-1.502045251829299,-0.7510226259146495
mPEG-thiol_n_3_methyl-capped,Ag_13,1hzh,-3.471,-2.13,-0.8589835909619271,-0.7050874408894409,-1.564071031851368,-0.782035515925684
mPEG-thiol_n_3_methyl-capped,Au_13,1hzh,-3.471,-2.12,-0.8589835909619271,-0.7091242010472047,-1.568107792009132,-0.784053896004566
PEG-dithiol_n_3,Ag_13,1hzh,-3.431,-2.13,-0.8867993973534357,-0.7050874408894409,-1.5918868382428766,-0.7959434191214383
PEG-dithiol_n_3,Au_13,1hzh,-3.431,-2.12,-0.8867993973534357,-0.7091242010472047,-1.5959235984006406,-0.7979617992003203
1-Hexanethiol,Ag_13,1hzh,-3.382,-2.13,-0.9208737601830337,-0.7050874408894409,-1.6259612010724744,-0.8129806005362372
1-Hexanethiol,Au_13,1hzh,-3.382,-2.12,-0.9208737601830337,-0.7091242010472047,-1.6299979612302384,-0.8149989806151192
3-Mercaptopropionic_acid,Ag_13,1hzh,-3.189,-2.13,-1.0550850260220628,-0.7050874408894409,-1.7601724669115035,-0.8800862334557518
3-Mercaptopropionic_acid,Au_13,1hzh,-3.189,-2.12,-1.0550850260220628,-0.7091242010472047,-1.7642092270692675,-0.8821046135346338
Polyethyleneimine_fragment_ethylenediamine,Ag_13,1hzh,-2.94,-2.13,-1.2282384208092039,-0.7050874408894409,-1.9333258616986448,-0.9666629308493224
Polyethyleneimine_fragment_ethylenediamine,Au_13,1hzh,-2.94,-2.12,-1.2282384208092039,-0.7091242010472047,-1.9373626218564086,-0.9686813109282043
Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,Ag_13,1hzh,-2.87,-2.13,-1.2769160819943437,-0.7050874408894409,-1.9820035228837845,-0.9910017614418922
Thiomethyl_PEG_linker_2-_2-methoxyethoxy_ethanethiol,Au_13,1hzh,-2.87,-2.12,-1.2769160819943437,-0.7091242010472047,-1.9860402830415484,-0.9930201415207742
Thioglycolic_acid_mercaptoacetic_acid,Ag_13,1hzh,-2.822,-2.13,-1.310295049664154,-0.7050874408894409,-2.015382490553595,-1.0076912452767974
Thioglycolic_acid_mercaptoacetic_acid,Au_13,1hzh,-2.822,-2.12,-1.310295049664154,-0.7091242010472047,-2.019419250711359,-1.0097096253556794
1-Butanethiol,Ag_13,1hzh,-2.759,-2.13,-1.3541049447307802,-0.7050874408894409,-2.059192385620221,-1.0295961928101105
1-Butanethiol,Au_13,1hzh,-2.759,-2.12,-1.3541049447307802,-0.7091242010472047,-2.063229145777985,-1.0316145728889925
Mercaptoethanol_2-mercaptoethanol,Ag_13,1hzh,-2.626,-2.13,-1.4465925009825462,-0.7050874408894409,-2.151679941871987,-1.0758399709359936
Mercaptoethanol_2-mercaptoethanol,Au_13,1hzh,-2.626,-2.12,-1.4465925009825462,-0.7091242010472047,-2.1557167020297507,-1.0778583510148754
Cysteamine_2-aminoethanethiol,Ag_13,1hzh,-2.616,-2.13,-1.4535464525804231,-0.7050874408894409,-2.158633893469864,-1.079316946734932
Cysteamine_2-aminoethanethiol,Au_13,1hzh,-2.616,-2.12,-1.4535464525804231,-0.7091242010472047,-2.162670653627628,-1.081335326813814
Thioacetic_acid,Ag_13,1hzh,-2.524,-2.13,-1.517522807280893,-0.7050874408894409,-2.222610248170334,-1.111305124085167
Thioacetic_acid,Au_13,1hzh,-2.524,-2.12,-1.517522807280893,-0.7091242010472047,-2.226647008328098,-1.113323504164049
Folic_acid,ZnO_12_0,2hav,-10.09,-8.44,2.959139896366932,1.4138130829620992,4.372952979329032,2.186476489664516
Curcumin,ZnO_12_0,2hav,-8.929,-8.44,2.2636449297002157,1.4138130829620992,3.677458012662315,1.8387290063311574
Doxorubicin_proxy_daunorubicin_aglycone,ZnO_12_0,2hav,-8.502,-8.44,2.0078513459218454,1.4138130829620992,3.4216644288839446,1.7108322144419723
Tannic_acid_approx,ZnO_12_0,2hav,-8.327,-8.44,1.9030179099471032,1.4138130829620992,3.3168309929092024,1.6584154964546012
Methotrexate,ZnO_12_0,2hav,-8.247,-8.44,1.8550940535015068,1.4138130829620992,3.268907136463606,1.634453568231803
TAT_peptide_fragment_YGRKKK_6_aa,ZnO_12_0,2hav,-8.079,-8.44,1.754453954965755,1.4138130829620992,3.168267037927854,1.584133518963927
Gemcitabine,ZnO_12_0,2hav,-7.323,-8.44,1.3015735115548697,1.4138130829620992,2.7153865945169686,1.3576932972584843
