feature_set,modelo,salida,MAE,RMSE,R2
RDKit_membrana_seleccionada,ExtraTrees,y_1hzh,0.38423158643616956,0.4747019140833298,0.8323897360612555
RDKit_membrana_seleccionada,ExtraTrees,y_2hav,0.2562742031902005,0.307738310033832,0.9489276405598145
RDKit_membrana_seleccionada,ExtraTrees,y_3ghg,0.3713991063912505,0.4285097922402658,0.865099459612467
RDKit_membrana_seleccionada,ExtraTrees,media,0.3389415084580942,0.4117237206601575,0.8862422904179125
Membrana_solo,Ridge,y_1ao6,0.6920167204579983,0.8893989126692832,0.5398619718394029
Membrana_solo,Ridge,y_1hzh,0.785422231291253,0.9588198220314175,0.3161944020902434
Membrana_solo,Ridge,y_2hav,0.7211169890484211,0.8617240016573372,0.599539973328596
Membrana_solo,Ridge,y_3ghg,0.5746795923853077,0.7128233982871276,0.6267016403414722
Membrana_solo,Ridge,media,0.693308883295745,0.860385281306521,0.5205744968999286
Membrana_solo,PLSRegression,y_1ao6,0.9491760084579859,1.269391342927924,0.0626840592535367
Membrana_solo,PLSRegression,y_1hzh,1.051251229797115,1.5203875077581028,-0.7193616250606207
Membrana_solo,PLSRegression,y_2hav,0.9568252860022642,1.4082300722244865,-0.06947348412498155
Membrana_solo,PLSRegression,y_3ghg,0.8705642298070888,1.181569108880434,-0.025676592004993504
Membrana_solo,PLSRegression,media,0.9569541885161136,1.3511245363238302,-0.18795691048426472
Membrana_solo,PCA_Ridge,y_1ao6,0.8590675827593259,1.1429587575547961,0.2401006763240725
Membrana_solo,PCA_Ridge,y_1hzh,1.037687208793547,1.3514015436298634,-0.35839935141221724
Membrana_solo,PCA_Ridge,y_2hav,0.914696171999946,1.1955035598952928,0.22923046580555118
Membrana_solo,PCA_Ridge,y_3ghg,0.789286521923249,0.9802354601234734,0.2940840317788478
Membrana_solo,PCA_Ridge,media,0.9001843713690169,1.1750245925726595,0.10125395562406356
Membrana_solo,RandomForest,y_1ao6,0.6058012171717165,0.7460966885321538,0.6761937973635658
Membrana_solo,RandomForest,y_1hzh,0.6916350909090915,0.8117194182629069,0.5099160101660352
Membrana_solo,RandomForest,y_2hav,0.5793494292929303,0.6767346886104989,0.7530212036332662
Membrana_solo,RandomForest,y_3ghg,0.6070615909090913,0.6797285856346242,0.6605598142250163
Membrana_solo,RandomForest,media,0.6209618320707074,0.7306759664039378,0.6499227063469709
Membrana_solo,ExtraTrees,y_1ao6,0.5941812121212091,0.7541530782837412,0.6691630907583759
Membrana_solo,ExtraTrees,y_1hzh,0.6788421212121192,0.7968169084963358,0.5277459112033687
Membrana_solo,ExtraTrees,y_2hav,0.5953530303030304,0.7525400278994515,0.6945908788977312
Membrana_solo,ExtraTrees,y_3ghg,0.6118378787878782,0.6672080679203294,0.6729495386300647
Membrana_solo,ExtraTrees,media,0.6200535606060593,0.7441685210084115,0.6411123548723852
RDKit_membrana_filtrada_auto,Ridge,y_1ao6,0.3380607315851089,0.45878943596151495,0.8775604408079957
RDKit_membrana_filtrada_auto,Ridge,y_1hzh,0.378366989677796,0.4886753862159784,0.8223768474158057
RDKit_membrana_filtrada_auto,Ridge,y_2hav,0.326708477255847,0.43912105863454504,0.8960100612514811
RDKit_membrana_filtrada_auto,Ridge,y_3ghg,0.4522236063179823,0.5497072321410256,0.7779989189713623
RDKit_membrana_filtrada_auto,Ridge,media,0.37383995120918356,0.48587465586499046,0.8434865671116613
RDKit_membrana_filtrada_auto,PLSRegression,y_1ao6,0.25538962139780275,0.3377129285154107,0.9336577322956213
RDKit_membrana_filtrada_auto,PLSRegression,y_1hzh,0.3517602897055331,0.46422726713545026,0.8397050147305947
RDKit_membrana_filtrada_auto,PLSRegression,y_2hav,0.35964696588944123,0.4627409533187329,0.8845221560325547
RDKit_membrana_filtrada_auto,PLSRegression,y_3ghg,0.4694448036831717,0.5843715996902191,0.7491174876205091
RDKit_membrana_filtrada_auto,PLSRegression,media,0.3590604201689872,0.47041905096449343,0.8517505976698201
RDKit_membrana_filtrada_auto,PCA_Ridge,y_1ao6,0.35865365554518036,0.46450766053336523,0.8744893149407448
RDKit_membrana_filtrada_auto,PCA_Ridge,y_1hzh,0.3524508936392897,0.4535909490746511,0.8469661852029531
RDKit_membrana_filtrada_auto,PCA_Ridge,y_2hav,0.33955528032318766,0.4358528750344717,0.8975522032127401
RDKit_membrana_filtrada_auto,PCA_Ridge,y_3ghg,0.5110493199578084,0.6003931949014008,0.7351721162759022
RDKit_membrana_filtrada_auto,PCA_Ridge,media,0.39042728736636656,0.49293808762773367,0.838544954908085
RDKit_membrana_filtrada_auto,RandomForest,y_1ao6,0.5058288325747852,0.6491620303106572,0.7548673509532486
RDKit_membrana_filtrada_auto,RandomForest,y_1hzh,0.6553419942631149,0.737506316093962,0.5954333006975585
RDKit_membrana_filtrada_auto,RandomForest,y_2hav,0.45274316209384724,0.5292003298524409,0.8489700755038482
RDKit_membrana_filtrada_auto,RandomForest,y_3ghg,0.4635905987838686,0.5679256191145898,0.7630399635085897
RDKit_membrana_filtrada_auto,RandomForest,media,0.519376146928904,0.6260829429552773,0.7405776726658113
RDKit_membrana_filtrada_auto,ExtraTrees,y_1ao6,0.3438611378147562,0.41761258586676003,0.898552325438113
RDKit_membrana_filtrada_auto,ExtraTrees,y_1hzh,0.38423158643616956,0.4747019140833298,0.8323897360612555
