ligando,n_layerposition,mem_distribution_mean,mem_distribution_min,mem_distribution_max,mem_distribution_center,mem_distribution_argmax_depth,mem_distribution_argmin_depth,mem_free_energy_mean,mem_free_energy_min,mem_free_energy_max,mem_free_energy_center,mem_free_energy_argmax_depth,mem_free_energy_argmin_depth,mem_meanentropy_mean,mem_meanentropy_min,mem_meanentropy_max,mem_meanentropy_center,mem_meanentropy_argmax_depth,mem_meanentropy_argmin_depth,mem_distribution_sum,mem_distribution_nonzero_center,mem_free_energy_barrier,mem_logP,mem_logP_kg_l,mem_logPerm,mem_diffusion_E9_mean,mem_diffusion_E9_min,mem_diffusion_E9_max,mem_diffusion_E9_center,mem_diffusion_E9_argmax_depth,mem_diffusion_E9_argmin_depth
Dithiothreitol_DTT,30,0.0333333333333332,6.6908604117229e-09,0.14065794353507,6.6908604117229e-09,19.92,0.57,0.941058377430718,-2.2177719220831,8.1742494545479,8.1742494545479,0.57,19.92,7.973646791629,0.00106771561,30.0,1.0,,,0.9999999999999968,1,10.392021376631,1.26277466,1.15816918,-4.24062012,0.2577708719985906,8.6156076431106e-05,0.9834311243955,0.16961616099663,33.58,16.51
Doxorubicin_proxy_daunorubicin_aglycone,30,0.0333333333333332,1.019050125541e-09,0.091471765639021,1.019050125541e-09,15.37,0.57,0.9236643967739232,-1.7708089028628,9.5158608880988,9.5158608880988,0.57,15.37,8.399706606853334,0.0538962493,30.0,1.0,,,0.9999999999999984,1,11.2866697909616,1.12647381,1.02186833,-5.3327857,0.12721444239399443,4.4725272650702e-05,0.48033704197193,0.089047350307909,33.58,16.51
Folic_acid,30,0.0333333333333333,3.5133804493948003e-16,0.27627871470198,3.5133804493948003e-16,19.92,0.57,3.866177089382536,-3.3959303170152,17.743266849833,17.743266849833,0.57,19.92,9.15343843195,0.417980258,30.0,1.0,,,0.9999999999999992,1,21.1391971668482,1.81641041,1.71180493,-11.56174243,0.05587287837353929,1.9735467696476e-05,0.20990124986338,0.04142632533729,33.58,16.51
Gemcitabine,30,0.0333333333333336,5.0417047431441e-11,0.17586492454623,5.0417047431441e-11,22.2,0.57,2.076503387700636,-1.993651959734,11.548779370057,11.548779370057,0.57,22.2,8.276142376573167,0.00987403729,30.0,1.0,,,1.00000000000001,1,13.542431329791,0.98903561,0.88443013,-6.65148096,0.18764240255104372,6.4540035239343e-05,0.7125948850861,0.12779368960956,33.58,16.51
Glutathione_GSH,30,0.0333333333333332,2.2138128013082e-11,0.12447414577972,2.2138128013082e-11,19.92,0.57,3.215515409828241,-1.0736232214739,12.76305065714,12.76305065714,0.57,19.92,8.293568142406667,0.0467856614,30.0,1.0,,,0.999999999999998,1,13.8366738786139,0.38948947,0.28488399,-7.74766745,0.14621617013620952,5.1767627858622e-05,0.55393236230948,0.096169001110236,33.58,16.51
HEPES,30,0.0333333333333332,2.190531306323e-06,0.21385504660153,2.190531306323e-06,15.37,0.57,-1.5274115739656946,-4.5266046066292,2.5543687884219,2.5543687884219,0.57,15.37,8.297574977028333,0.0071463424,30.0,1.0,,,0.999999999999998,1,7.0809733950511,2.72992029,2.6253148,-0.44049841,0.17015572117210695,5.9225170651575e-05,0.64688830631567,0.1128881510867,33.58,16.51
Histidine,30,0.0333333333333335,6.227759993701101e-10,0.10671896908235,6.227759993701101e-10,23.34,0.57,2.597566680640465,-0.64958839633748,11.035606009146,11.035606009146,0.57,23.34,8.0211256417305,0.00149495272,30.0,1.0,,,1.0000000000000058,1,11.68519440548348,0.00930039,-0.09530509,-6.26609077,0.25908972945029735,8.9625290381143e-05,0.98973907327327,0.16902122228652,33.58,16.51
L-Cysteine,30,0.0333333333333333,1.1486299701546e-08,0.12291630264852,1.1486299701546e-08,21.06,0.57,1.4019869786391246,-1.3948419188606,8.5810080604406,8.5810080604406,0.57,21.06,8.035247476318883,0.000420157103,30.0,1.0,,,1.0,1,9.9758499793012,0.68303231,0.57842683,-4.37602264,0.3174839108407185,0.00010768505545571,1.2166307759398,0.20150563518239,33.58,16.51
L-Homocysteine,30,0.0333333333333334,1.1527139476962e-07,0.096850640238254,1.1527139476962e-07,21.06,0.57,1.0156889589124876,-1.1385943785239,7.2690206157023,7.2690206157023,0.57,21.06,8.021274239948001,0.00445463318,30.0,1.0,,,1.000000000000002,1,8.4076149942262,0.58782152,0.48321604,-3.54460988,0.2652209044430128,9.1300163310407e-05,1.0140196222431,0.16923002433343,33.58,16.51
Lipoic_acid_thioctic_acid,30,0.0333333333333331,0.00029831804902,0.17714435797586,0.0003634044605223,11.95,33.58,-1.908500239044369,-3.9362362061703,0.0,-0.12163680404291,33.58,11.95,8.126326052168332,0.0674738591,30.0,1.0,,,0.9999999999999932,1,3.9362362061703,2.39477425,2.29016877,-0.12472923,0.2034207092553541,7.0057232091799e-05,0.77512576757266,0.13146246850718,33.58,16.51
Lysine,30,0.0333333333333332,2.7221122464027e-07,0.09934843605906,2.7221122464027e-07,23.34,0.57,1.5068628480296955,-0.53742502788365,7.356277115324,7.356277115324,0.57,23.34,7.995872440333501,0.00111744575,30.0,1.0,,,0.999999999999998,1,7.8937021432076495,-0.10113391,-0.20573939,-3.74773324,0.246852532742718,8.6734464549099e-05,0.94214165456493,0.15934977659845,33.58,16.51
Mannose,30,0.0333333333333333,4.4639976423625e-12,0.10811597052136,4.4639976423625e-12,22.2,0.57,3.165808765165841,-0.85018977288686,13.886551440416,13.886551440416,0.57,22.2,7.96316526555695,0.000595364177,30.0,1.0,,,1.0000000000000018,1,14.73674121330286,0.24514188,0.1405364,-8.19408689,0.24870634986597726,8.3969429966991e-05,0.94504078759786,0.17043338505377,33.58,16.51
Mercaptoethanol_2-mercaptoethanol,30,0.0333333333333333,7.5651130239848e-05,0.07289962579944,7.5651130239848e-05,15.37,0.57,0.460518578587218,-0.68626263148707,3.5483680673351,3.5483680673351,0.57,15.37,7.815164790164717,0.000374995743,30.0,1.0,,,0.999999999999999,1,4.23463069882217,0.32325556,0.21865007,-1.58356391,0.3784286233589238,0.00012936411948586,1.4484810112454,0.23693391019972,33.58,16.51
Methionine,30,0.0333333333333337,7.0236969311363e-08,0.10292805897599,7.0236969311363e-08,21.06,0.57,0.8252957672865897,-1.4916459490499,7.2588185514385,7.2588185514385,0.57,21.06,8.108279619785332,0.00142924338,30.0,1.0,,,1.0000000000000124,1,8.7504645004884,0.85282517,0.74821968,-3.49904493,0.26240177237663664,9.0204789597151e-05,1.0034843898671,0.16750696546406,33.58,16.51
Methotrexate,30,0.0333333333333337,1.1355167479818001e-15,0.15088192967845,1.1355167479818001e-15,21.06,0.57,4.585038278267597,-1.3586313172341,18.684724764342,18.684724764342,0.57,21.06,8.849949903066666,0.164441633,30.0,1.0,,,1.0000000000000118,1,20.0433560815761,0.54759266,0.44298718,-11.96185852,0.07846484803798469,2.7792277731515e-05,0.29489222586045,0.058057618339675,33.58,16.51
PEG-amine_n_3_proxy,30,0.0333333333333333,0.0001559914543717,0.098202346488279,0.0001559914543717,26.75,0.57,0.8852795054637421,-0.32923079263098,3.6430140077586,3.6430140077586,0.57,26.75,7.973348540260834,0.00398833867,30.0,1.0,,,1.0000000000000009,1,3.97224480038958,-0.34864045,-0.45324593,-2.76030471,0.197306224863806,7.2485958884827e-05,0.74631452526109,0.13320032487412,33.58,16.51
PEG-dithiol_n_3,30,0.0333333333333331,0.0045657988144528,0.10687769862087,0.0045657988144528,11.95,0.57,-0.4884129158405464,-1.4236808893155,0.51966788561821,0.51966788561821,0.57,11.95,7.910275904374332,0.00251863305,30.0,1.0,,,0.9999999999999948,1,1.94334877493371,0.77862271,0.67401723,-1.69521057,0.20716660443897997,7.4079761292001e-05,0.78689820089465,0.13357007025297,33.58,16.51
PEG-thiol_n_3,30,0.0333333333333333,1.1108950231215e-05,0.082205752865337,1.1108950231215e-05,26.75,0.57,0.9347891803044168,-0.44483482639491,5.0462012227604,5.0462012227604,0.57,26.75,8.109947212321666,0.0342464109,30.0,1.0,,,1.0000000000000004,1,5.49103604915531,-0.06472323,-0.16932871,-2.41251328,0.23913962451829154,8.452054388204e-05,0.90868095223786,0.15655502592759,33.58,16.51
PEG-thiol_n_4,30,0.0333333333333333,0.0001335802941022,0.09481179783142,0.0001335802941022,13.09,0.57,0.2437743320467315,-0.94686831955116,3.0993129371053,3.0993129371053,0.57,13.09,7.922254644203,0.0033272874,30.0,1.0,,,1.0,1,4.04618125665646,0.42221666,0.31761118,-1.89723648,0.19963266037658953,7.1106740648646e-05,0.75666666355548,0.13142931293779,33.58,16.51
PEG-thiol_n_6,30,0.0333333333333331,0.0003229939018727,0.080650169279972,0.0003229939018727,26.75,0.57,0.4228604079717374,-0.53523807142166,2.8670597407719,2.8670597407719,0.57,26.75,8.222824845549999,0.187390103,30.0,1.0,,,0.9999999999999958,1,3.4022978121935603,0.09692407,-0.00768141,-2.48176126,0.1167764726185999,4.3274146223318e-05,0.4389510289367,0.080028659346504,33.58,16.51
