ligando,proteina,y_ligando_proteina,MolWt,ExactMolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeavyAtoms,NumAtoms,FractionCSP3,NumRings,FormalCharge,Chi0n,Chi1n,Kappa1,Kappa2,LabuteASA,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,n_layerposition,mem_distribution_mean,mem_distribution_min,mem_distribution_max,mem_distribution_center,mem_distribution_argmax_depth,mem_distribution_argmin_depth,mem_free_energy_mean,mem_free_energy_min,mem_free_energy_max,mem_free_energy_center,mem_free_energy_argmax_depth,mem_free_energy_argmin_depth,mem_meanentropy_mean,mem_meanentropy_min,mem_meanentropy_max,mem_meanentropy_center,mem_meanentropy_argmax_depth,mem_meanentropy_argmin_depth,mem_distribution_sum,mem_distribution_nonzero_center,mem_free_energy_barrier,mem_logP,mem_logP_kg_l,mem_logPerm,mem_diffusion_E9_mean,mem_diffusion_E9_min,mem_diffusion_E9_max,mem_diffusion_E9_center,mem_diffusion_E9_argmax_depth,mem_diffusion_E9_argmin_depth,nanoparticula,E_nano_proteina,n_energias_detectadas,archivo_dlg_nano_proteina,z_ligando_proteina,score_ligando_proteina,z_nano_proteina,score_nano_proteina,score_contextual,score_contextual_medio
1-Dodecanethiol,1ao6,-4.709,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,Ag_13,-2.24,22.0,Ag_13_1ao6.dlg,0.061640945942279854,-0.061640945942279854,0.7264062428081293,-0.7264062428081293,-0.7880471887504091,-0.39402359437520457
1-Dodecanethiol,1ao6,-4.709,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,Au_13,-2.34,22.0,Au_13_1ao6.dlg,0.061640945942279854,-0.061640945942279854,0.6876301088504001,-0.6876301088504001,-0.74927105479268,-0.37463552739634
1-Dodecanethiol,1ao6,-4.709,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,ZnO_12_0,-7.76,22.0,ZnO_12_0_1ao6.dlg,0.061640945942279854,-0.061640945942279854,-1.4140363516585295,1.4140363516585295,1.3523954057162497,0.6761977028581249
1-Dodecanethiol,1hzh,-4.525,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,Ag_13,-2.13,20.0,Ag_13_1hzh.dlg,0.1260370925456756,-0.1260370925456756,0.7050874408894409,-0.7050874408894409,-0.8311245334351165,-0.41556226671755825
1-Dodecanethiol,1hzh,-4.525,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,Au_13,-2.12,19.0,Au_13_1hzh.dlg,0.1260370925456756,-0.1260370925456756,0.7091242010472047,-0.7091242010472047,-0.8351612935928804,-0.4175806467964402
1-Dodecanethiol,1hzh,-4.525,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,ZnO_12_0,-7.38,22.0,ZnO_12_0_1hzh.dlg,0.1260370925456756,-0.1260370925456756,-1.4142116419366457,1.4142116419366457,1.2881745493909702,0.6440872746954851
1-Dodecanethiol,2hav,-4.842,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,Ag_13,-2.17,23.0,Ag_13_2hav.dlg,0.18466508646418675,-0.18466508646418675,0.7360514352688697,-0.7360514352688697,-0.9207165217330565,-0.46035826086652826
1-Dodecanethiol,2hav,-4.842,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,Au_13,-2.34,21.0,Au_13_2hav.dlg,0.18466508646418675,-0.18466508646418675,0.6777616476932294,-0.6777616476932294,-0.8624267341574162,-0.4312133670787081
1-Dodecanethiol,2hav,-4.842,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,ZnO_12_0,-8.44,21.0,ZnO_12_0_2hav.dlg,0.18466508646418675,-0.18466508646418675,-1.4138130829620992,1.4138130829620992,1.2291479964979124,0.6145739982489562
1-Dodecanethiol,3ghg,-4.179,202.40700000000024,202.175521832,4.837100000000006,0.0,1,1,11,13,39,1.0,0,0,32.40824829046386,15.862372435695796,1.384472852628555,12.35,126.11880982176126,0.5792845441229384,0.9858366265632472,0.0018200658839408,0.167708514173837,0.8849369646590651,486.2115006204973,2565.561633295746,2899.146194310197,3.8341073610708274,0.1893095371039852,30.0,0.0333333333333333,3.4883144241109e-07,0.094874235143882,0.094874235143882,0.57,33.58,-4.651673689996757,-7.7124443404214,0.0,-7.7124443404214,33.58,0.57,8.250922537017667,0.0012815373,30.0,1.0,,,1.0000000000000009,1.0,7.7124443404214,5.32858249,5.22397701,1.15922845,0.1815281656026248,6.3803254279407e-05,0.69033227599378,0.11493478539179,33.58,16.51,,,,,0.1731459884815903,-0.1731459884815903,,,,
1-Hexanethiol,1ao6,-3.657,118.24499999999992,118.081621448,2.496500000000001,0.0,1,1,5,7,21,1.0,0,0,17.408248290463863,8.362372435695795,0.7156587120960582,6.35,71.06951113336798,0.7377993100359836,0.995297736904022,0.0114703252484954,0.0968628665368295,0.9449953079741276,82.38609520667977,803.7597502136693,850.5436412554919,2.7099089354898807,0.1978727753085032,30.0,0.0333333333333333,6.386337050601e-05,0.089920764451426,0.075593838836187,9.68,33.58,-2.64256957486075,-4.4683630857812,0.0,-4.3613962768519,33.58,9.68,7.958929707688433,4.7851475e-05,30.0,1.0,,,1.000000000000001,1.0,4.4683630857812,3.06557504,2.96096956,-0.02658546,0.2854021214275508,9.9178697219645e-05,1.0901510367579,0.17686918841061,33.58,16.51,Ag_13,-2.24,22.0,Ag_13_1ao6.dlg,0.7650491698386731,-0.7650491698386731,0.7264062428081293,-0.7264062428081293,-1.4914554126468023,-0.7457277063234011
1-Hexanethiol,1ao6,-3.657,118.24499999999992,118.081621448,2.496500000000001,0.0,1,1,5,7,21,1.0,0,0,17.408248290463863,8.362372435695795,0.7156587120960582,6.35,71.06951113336798,0.7377993100359836,0.995297736904022,0.0114703252484954,0.0968628665368295,0.9449953079741276,82.38609520667977,803.7597502136693,850.5436412554919,2.7099089354898807,0.1978727753085032,30.0,0.0333333333333333,6.386337050601e-05,0.089920764451426,0.075593838836187,9.68,33.58,-2.64256957486075,-4.4683630857812,0.0,-4.3613962768519,33.58,9.68,7.958929707688433,4.7851475e-05,30.0,1.0,,,1.000000000000001,1.0,4.4683630857812,3.06557504,2.96096956,-0.02658546,0.2854021214275508,9.9178697219645e-05,1.0901510367579,0.17686918841061,33.58,16.51,Au_13,-2.34,22.0,Au_13_1ao6.dlg,0.7650491698386731,-0.7650491698386731,0.6876301088504001,-0.6876301088504001,-1.4526792786890732,-0.7263396393445366
1-Hexanethiol,1ao6,-3.657,118.24499999999992,118.081621448,2.496500000000001,0.0,1,1,5,7,21,1.0,0,0,17.408248290463863,8.362372435695795,0.7156587120960582,6.35,71.06951113336798,0.7377993100359836,0.995297736904022,0.0114703252484954,0.0968628665368295,0.9449953079741276,82.38609520667977,803.7597502136693,850.5436412554919,2.7099089354898807,0.1978727753085032,30.0,0.0333333333333333,6.386337050601e-05,0.089920764451426,0.075593838836187,9.68,33.58,-2.64256957486075,-4.4683630857812,0.0,-4.3613962768519,33.58,9.68,7.958929707688433,4.7851475e-05,30.0,1.0,,,1.000000000000001,1.0,4.4683630857812,3.06557504,2.96096956,-0.02658546,0.2854021214275508,9.9178697219645e-05,1.0901510367579,0.17686918841061,33.58,16.51,ZnO_12_0,-7.76,22.0,ZnO_12_0_1ao6.dlg,0.7650491698386731,-0.7650491698386731,-1.4140363516585295,1.4140363516585295,0.6489871818198564,0.3244935909099282
